#{"t_start": 1689883012.2125707, "env_id": null}
r,l,t
10.216947,150,9.327282
20.880102,109,14.679911
14.491854,35,16.732922
12.485407,47,19.285975
1.7828,20,20.287558
8.0001,49,22.731282
-0.364098,39,24.674493
5.614553,31,26.200059
1.6294,150,34.230654
32.670383,94,38.900087
32.419295,150,46.427199
4.710632,26,47.739547
1.733511,103,52.85942
8.029203,31,55.045907
4.068977,97,59.775833
29.516022,125,65.991096
5.061633,47,68.40337
8.21296,53,71.045558
38.299942,150,78.318278
12.486535,150,86.508857
3.517604,150,94.063362
-6.514406,80,98.014533
7.498495,57,100.868728
2.542984,27,102.209221
-33.980799,150,110.112668
41.171598,150,117.615853
10.910684,49,120.140666
40.563303,150,127.56603
24.755168,99,133.516764
15.887148,97,138.180484
25.028375,68,141.48294
12.404577,57,144.315515
6.499831,32,145.887367
-34.330583,150,153.415787
-21.924245,150,161.607351
10.092839,39,163.514677
9.991068,47,165.872776
9.741565,41,168.000376
27.849505,110,173.517184
19.900355,48,175.815279
11.174752,67,179.138798
31.675894,77,182.965167
9.599792,57,186.267728
37.614342,56,188.936101
46.38011,150,196.447592
-7.473392,60,199.435241
52.223641,150,206.92534
31.813227,79,211.504124
5.348341,17,212.284055
47.325778,150,219.655055
8.476091,71,223.151636
8.009597,27,224.522851
25.165619,49,226.939233
47.960949,150,234.414072
15.148968,49,237.521173
35.800648,150,244.749346
24.659306,51,247.318813
46.93805,150,254.829445
11.667383,28,256.196395
21.21221,65,259.514903
14.517695,72,263.625307
24.603258,76,267.245568
40.065657,131,273.745804
4.970471,37,275.598912
-7.601976,150,283.13516
-33.754635,150,290.964228
43.445015,150,298.535525
29.490185,150,305.998924
54.118932,150,313.446794
17.303041,36,315.844033
19.527987,66,319.024571
13.759853,47,321.318511
12.166696,53,323.971816
13.707333,55,326.71723
33.810349,150,334.213345
37.807269,81,338.214752
16.184635,150,346.164377
66.187431,150,353.662342
19.746752,71,357.188755
27.834533,88,361.560544
13.747408,43,363.683871
26.875959,72,368.103177
4.371956,38,369.780596
44.191027,150,377.242638
31.235094,96,382.026917
20.736049,56,384.853096
14.586813,46,387.119776
23.822926,134,394.280716
2.651638,100,399.13511
13.731696,42,401.232127
17.774158,36,403.049016
6.486125,76,406.83282
5.539932,41,408.893197
3.02963,35,410.672311
1.834506,24,411.868916
2.392441,26,413.141406
-0.726609,21,414.206788
0.026634,18,415.080199
14.347031,42,417.18716
22.059229,48,420.2171
8.074371,32,421.781727
3.470846,46,423.884367
14.348315,37,425.760759
18.908291,80,429.710259
5.211954,30,431.221851
39.287424,150,438.711685
8.568391,39,440.653861
32.89893,63,443.773701
2.760173,24,445.528522
8.436554,76,449.132077
-3.595144,28,450.562889
23.067345,54,453.228724
15.254509,46,455.51387
39.633937,150,463.048805
42.34612,150,471.186826
0.248202,41,473.26006
5.570038,23,474.218377
12.08292,35,475.971831
44.512178,82,479.994558
40.925521,84,484.127435
13.019508,74,487.843246
32.352165,109,493.31773
35.72818,102,499.0833
8.149052,51,501.394877
15.444204,87,505.731661
18.719178,50,508.257681
29.060406,125,514.537279
4.541052,23,515.758871
-2.011824,150,523.687229
60.756088,146,530.798215
47.833202,67,534.140074
15.702272,46,536.431896
54.793344,96,541.217258
48.111367,150,549.375326
19.859488,72,552.742745
62.901511,150,560.221826
31.314439,99,565.159095
21.296392,46,567.435197
10.808288,55,570.270414
9.250004,97,575.604887
2.750188,24,576.678242
55.714927,105,581.853416
22.40262,150,589.364204
10.494585,46,591.691054
9.124325,33,593.306199
5.30772,33,594.946757
1.061148,49,597.395415
10.803464,37,599.216231
1.765497,20,600.993216
46.594667,150,608.207322
36.69858,150,615.706617
2.463856,15,616.452934
-30.599356,150,623.980672
16.26126,37,625.844432
1.000902,14,627.140168
-24.627346,150,634.376213
18.347119,54,637.076034
10.039149,31,638.634791
16.871209,45,640.906545
20.009613,150,648.378738
14.684517,47,650.722127
12.698242,42,653.443981
40.599688,103,658.419767
55.779285,150,665.908827
51.685836,82,670.059444
14.483105,57,672.824178
1.337588,28,674.316681
29.509503,57,677.031788
9.354462,49,679.919114
14.361936,75,683.600998
8.887863,30,685.087623
4.455256,29,686.54015
1.703808,36,688.335479
8.67589,30,689.822474
3.665692,22,690.946636
10.010273,52,693.569487
1.678483,32,695.154674
0.548877,17,696.027544
-1.642174,31,697.539288
2.913197,18,698.445301
7.156857,44,700.62679
-37.320995,150,708.443831
80.368894,142,715.541158
52.777623,150,723.075555
8.094834,29,724.502664
2.112955,24,725.699219
8.136808,27,726.997633
22.573983,72,731.686311
5.432428,19,732.718241
8.517469,44,734.821231
61.502075,150,742.124563
61.297153,134,748.812953
51.312847,150,756.334485
-33.607559,150,764.257518
4.755478,30,765.738553
23.213718,58,768.631382
48.360127,150,776.151621
61.883201,143,783.914004
-1.230882,18,784.670813
5.370745,19,785.512096
18.800783,150,793.035611
-1.44572,38,794.901677
4.441343,31,796.47316
48.360276,150,803.921954
6.354428,101,809.568653
9.299789,31,810.951751
1.819505,17,811.748297
42.836595,150,819.18716
55.502968,85,823.439003
36.59541,65,826.678113
44.738659,137,833.543858
4.365007,57,836.805642
9.829306,30,838.22856
10.137154,45,840.587569
0.919804,14,841.217957
19.35811,150,848.673617
36.825252,150,856.178009
-31.400709,150,864.0714
43.63605,142,871.173916
25.320101,150,878.664754
24.901772,150,886.159466
3.17941,19,887.80707
-0.104437,15,888.516671
112.054114,150,895.816973
51.84495,150,903.339069
35.754141,119,909.25926
9.061714,66,913.201898
19.837696,72,916.581722
11.470839,31,918.082738
14.82416,33,919.734298
12.218267,52,922.307151
4.401785,52,924.914759
5.657381,49,927.405814
4.320782,28,928.829124
7.466631,30,930.336658
9.613214,56,933.057675
20.034935,67,936.426596
3.961804,38,939.025242
0.609436,15,939.832515
13.967054,30,941.129776
12.535736,37,942.87597
31.722474,100,947.865126
20.017654,97,952.705482
4.411469,35,954.479862
3.243204,46,956.767003
13.362358,33,958.409493
9.496136,28,959.829744
11.134352,44,962.023565
3.059376,23,963.13717
5.670749,22,964.91908
6.617161,66,968.112102
4.144032,18,968.941946
54.054165,150,976.436125
22.082545,95,981.180624
7.107669,26,982.534912
27.716212,81,986.521173
9.848455,59,989.464132
8.698627,25,991.429719
0.481982,20,992.365723
1.10692,15,993.067781
23.510141,150,1000.399923
15.360528,35,1002.136542
-0.642872,150,1009.656996
1.275457,24,1010.854987
1.906737,14,1011.552699
13.528708,93,1016.164224
30.45637,120,1022.568238
19.137333,48,1024.950773
18.799917,82,1029.036898
51.740739,92,1033.657715
22.508664,72,1037.249748
9.221676,63,1040.449257
5.044609,81,1044.850315
14.50699,47,1047.148622
15.458172,53,1049.790069
42.955828,150,1057.28333
45.148821,150,1064.791623
10.859432,65,1068.015526
5.085516,25,1069.72262
3.531694,28,1070.922567
17.343489,34,1072.66249
31.895733,150,1080.136721
56.986821,150,1087.644104
19.649055,39,1089.552395
25.373556,117,1095.98077
9.742275,36,1097.667497
2.868881,15,1098.352571
50.984907,131,1104.795014
49.65199,113,1110.566805
1.397696,15,1111.243644
34.442543,84,1115.344593
21.419313,73,1118.958491
5.22064,24,1120.71265
1.545557,14,1121.321798
5.679979,40,1123.18683
30.663983,110,1128.731053
12.704334,36,1130.472371
1.224216,14,1131.189159
4.174898,33,1132.89896
8.326302,35,1134.609002
3.300069,31,1136.143363
0.778797,13,1136.754645
12.273186,78,1140.773922
1.296791,14,1141.535891
12.296345,42,1143.456646
12.930799,71,1147.611518
36.914019,109,1152.761115
17.913046,40,1154.767915
33.940954,70,1158.23199
8.016897,21,1159.280077
9.398533,47,1161.607098
0.563409,15,1162.36462
40.889263,150,1169.87022
4.908832,43,1172.552431
31.199007,131,1178.819184
27.375231,60,1181.867071
47.605646,150,1189.285394
24.202237,45,1191.557434
19.136322,123,1198.277585
-0.114338,18,1199.09926
5.15844,36,1200.800174
18.322943,83,1204.823996
7.559412,28,1206.21255
2.436061,20,1207.243513
30.975576,92,1211.811792
30.5154,111,1217.37191
12.376823,44,1219.56284
14.441548,31,1221.133428
17.03817,39,1223.122664
5.507787,42,1225.667143
2.418371,16,1226.380101
70.455963,142,1233.414009
62.42646,150,1240.933967
48.431113,150,1248.428777
3.607309,48,1251.291611
42.249584,150,1258.740005
13.244434,41,1260.856555
28.530209,82,1264.903736
26.022179,72,1268.454075
63.500596,145,1276.273314
11.460604,66,1279.330933
5.836067,35,1281.086506
51.852894,150,1288.586109
21.35935,43,1290.717001
37.445974,150,1298.199266
-7.356841,104,1304.301309
6.267595,50,1306.580303
11.313987,56,1309.358616
29.862002,87,1313.731286
68.204103,103,1318.864834
3.01392,29,1320.348956
6.308418,26,1321.6359
7.691418,36,1323.396677
18.034028,56,1326.213818
6.003135,38,1328.998223
44.144693,150,1336.256095
9.368015,46,1338.535493
52.661943,150,1346.025661
59.384413,150,1353.532271
4.966843,27,1355.696256
19.192516,64,1358.764407
36.289179,87,1363.074055
19.779331,52,1365.674397
25.985233,107,1371.013078
23.927092,54,1373.680668
17.729923,37,1375.545504
11.415163,61,1378.595843
11.712688,29,1380.810841
1.429324,17,1381.579227
6.479075,23,1382.656186
90.543346,150,1389.980878
39.707599,90,1394.510518
26.93935,76,1398.260309
21.548073,58,1401.128637
15.067486,109,1407.347744
1.374067,19,1408.193673
5.817472,27,1409.541572
2.64162,18,1410.412858
7.232111,30,1411.780889
12.100513,43,1413.897865
5.397068,31,1415.457947
1.129534,17,1416.304043
3.724211,28,1417.716763
7.940914,42,1419.783722
-0.146076,13,1420.434331
-0.300129,32,1422.037165
8.409079,43,1424.192096
13.804436,50,1426.676909
10.633538,35,1428.487614
10.559921,30,1429.930627
3.505558,26,1431.247634
4.351801,24,1433.084106
21.000889,143,1439.986581
1.350161,16,1440.825341
10.623505,42,1442.847419
28.095384,56,1445.640992
26.798677,75,1449.368591
76.408353,150,1456.869958
12.176182,42,1459.4853
3.180872,29,1460.993456
1.056412,13,1461.59381
2.479221,17,1462.384451
3.305952,32,1463.975136
1.108601,17,1464.722631
2.416902,30,1466.131003
22.945004,51,1468.709906
7.999783,30,1470.175818
21.785315,68,1473.563291
58.14898,150,1481.020356
30.504434,57,1484.65831
49.808621,150,1491.877521
79.819874,149,1499.319469
97.188158,150,1506.799594
27.803388,65,1510.654557
6.898748,52,1513.072643
74.15286,149,1520.471141
37.351278,84,1524.603686
26.572697,82,1528.693371
9.717842,41,1530.889109
35.45776,101,1536.658288
4.070019,29,1538.159657
0.180073,18,1539.09204
9.182486,24,1540.226831
7.62375,26,1541.439435
19.416838,55,1544.042922
10.973847,60,1547.086617
17.878508,79,1551.034105
16.194756,47,1553.343658
11.049818,79,1557.276915
6.844635,45,1559.528422
5.466692,55,1563.161325
2.090343,14,1563.804082
18.489323,85,1567.843933
24.002115,82,1571.877974
6.317078,31,1573.45511
4.751163,30,1574.981882
12.740166,47,1577.274859
11.762671,59,1580.222766
8.823912,57,1583.087
21.407021,123,1590.237765
-0.593526,53,1592.699474
19.66157,150,1600.147881
83.016083,150,1607.62819
51.804376,150,1615.749411
2.258244,15,1616.519497
45.28017,150,1623.775343
69.173029,150,1631.252787
47.50309,150,1638.754706
9.519073,37,1641.384801
6.349871,37,1643.004263
71.610188,150,1650.58171
4.918402,28,1652.0034
0.342873,14,1652.653169
2.908184,17,1653.533884
28.152122,90,1657.938404
27.978182,150,1665.38998
0.119299,24,1667.535732
1.55998,19,1668.283478
31.741285,100,1673.196148
0.996803,30,1674.668359
0.485167,14,1675.366252
3.29253,28,1676.774831
33.827489,79,1680.777892
11.957209,57,1683.586451
0.315126,14,1684.282037
5.528186,31,1685.81274
6.074056,39,1687.804944
3.397442,22,1688.860361
1.101097,14,1689.595522
1.662312,35,1691.339052
1.338997,15,1692.083214
-1.152877,18,1693.724207
1.30547,14,1694.38094
0.89996,21,1695.290299
80.826516,150,1702.707752
50.040693,150,1710.231404
14.673635,41,1712.300391
83.583899,143,1720.051883
40.676031,150,1727.294919
10.768724,46,1729.579973
74.136165,150,1737.056143
39.160757,92,1741.672823
19.449636,66,1745.62388
15.463744,56,1748.159931
23.030743,62,1751.279541
41.520405,150,1758.773709
27.264257,71,1762.35852
6.416971,23,1763.458877
1.348295,15,1764.215961
9.348251,42,1766.310259
18.212689,74,1770.023601
27.294976,72,1773.865791
13.542183,143,1781.047211
24.659164,94,1785.702307
3.29703,30,1787.253936
-11.95426,150,1794.731336
9.37296,33,1796.375298
7.51536,72,1800.319979
62.923193,150,1807.858615
26.613453,63,1810.972003
29.5313,102,1816.050302
59.462246,114,1821.737145
10.803253,32,1823.820187
8.671745,64,1826.85078
9.113602,34,1828.567879
10.360912,36,1830.344829
0.705191,41,1832.39774
11.036537,58,1835.276516
21.49909,105,1840.466009
13.802624,50,1842.966004
9.109581,48,1845.390569
5.054157,33,1847.041295
5.204372,31,1849.198779
24.143321,77,1852.740632
21.516276,49,1855.188386
7.105562,87,1859.555891
32.225607,83,1863.72595
5.001858,38,1865.616878
9.066932,57,1868.474168
1.121716,37,1870.256045
7.264149,52,1872.870274
3.828134,44,1875.608557
33.341599,150,1882.973387
67.067695,150,1890.548329
24.969614,74,1894.230059
20.9473,111,1899.683031
6.962942,29,1901.71037
5.305782,36,1903.305171
41.066329,107,1908.6218
31.322765,75,1912.379647
25.78924,63,1915.55197
14.012653,80,1919.487195
71.231956,150,1927.57753
0.627861,35,1929.280771
9.807343,49,1931.611938
9.428701,35,1933.320319
37.06567,85,1937.566876
32.672033,88,1942.09075
-0.121189,34,1943.905295
5.081767,29,1945.197412
34.033386,82,1949.208943
2.803501,14,1949.944178
4.087429,30,1951.48988
0.293208,21,1953.245863
-0.333187,14,1953.900055
1.351902,42,1956.613701
0.423766,50,1959.324599
-0.006315,13,1959.919024
1.074454,14,1960.506214
4.879593,29,1961.867497
72.953796,150,1969.330266
6.925198,47,1971.640988
2.749086,21,1972.702528
50.238026,120,1978.80929
1.644557,53,1982.136293
12.963741,58,1984.83602
48.508395,114,1990.52268
58.722683,141,1997.565341
11.231009,64,2000.753136
10.592167,37,2002.5904
16.721375,47,2004.924644
18.90607,46,2007.534877
25.869589,80,2011.529719
35.585994,91,2016.069848
23.681801,53,2018.701671
4.291885,28,2020.087005
9.644598,50,2022.582163
27.481298,130,2029.064616
11.074994,33,2030.699657
0.327394,17,2032.076761
27.83198,91,2036.443865
35.35487,79,2040.367755
30.198011,66,2043.663332
7.051034,45,2045.914176
31.198811,129,2052.349722
5.802441,25,2053.56594
12.088616,70,2057.607592
8.094832,62,2060.580281
16.077682,85,2064.757035
30.106853,79,2068.687747
11.41333,49,2071.160203
37.8031,93,2075.786277
14.486668,42,2077.870609
49.794676,97,2083.362991
12.57607,71,2086.614184
7.530928,34,2088.303469
20.199854,52,2090.905409
13.756998,43,2093.011455
18.012115,67,2096.347828
10.349335,44,2098.537203
4.837959,28,2099.957714
40.216119,122,2106.016859
3.671871,56,2109.343812
4.788414,36,2111.154796
1.86425,18,2111.889834
31.839118,102,2116.876535
21.64612,67,2120.225239
8.510765,39,2122.203829
19.086979,58,2125.121632
11.990721,52,2127.699846
5.721443,29,2129.089568
3.106147,24,2130.28885
7.939646,37,2132.31503
2.892898,17,2133.28435
25.322712,98,2138.466534
21.574987,69,2141.899201
15.016918,80,2145.906649
1.298035,73,2149.560131
0.70612,45,2151.809338
10.424811,122,2157.898968
7.552423,65,2161.799404
53.378081,143,2168.699785
10.5972,45,2170.932774
7.587906,41,2172.995977
20.150824,50,2175.457088
17.004531,58,2178.351362
7.56127,36,2180.154805
-2.490055,41,2182.217605
6.826107,57,2185.062154
7.32776,46,2187.816185
0.539246,20,2188.77151
-0.169615,16,2189.454452
39.187306,150,2196.939748
5.28828,44,2199.037721
4.465355,69,2202.501789
5.968056,60,2205.48521
5.483387,33,2207.150933
11.521753,39,2209.121773
15.213776,150,2217.036906
19.621119,64,2220.25062
23.177467,81,2224.311715
11.984828,86,2228.585292
21.437897,94,2233.244431
11.897421,79,2237.225193
5.727999,32,2239.492059
1.014927,18,2240.334419
8.680879,54,2242.815872
8.799157,35,2244.555147
14.051472,56,2247.327357
14.280283,78,2251.216023
3.485049,44,2253.466112
5.882135,86,2257.742283
4.674224,34,2259.455122
1.783494,39,2261.384865
-0.691544,19,2262.400853
0.884243,16,2263.155763
13.644798,43,2265.862456
13.544078,50,2268.116218
22.702228,86,2272.396597
6.651461,30,2274.001659
62.063701,150,2281.391964
0.237794,45,2283.653396
0.930643,150,2291.729434
14.255308,79,2295.450822
8.529347,27,2296.796812
19.121687,57,2299.63927
5.754279,28,2301.065048
22.646544,137,2307.896721
8.57193,45,2310.108568
10.213401,40,2312.111699
9.808537,88,2317.215028
5.361845,67,2320.279292
7.821939,108,2325.703035
35.873724,99,2330.603329
22.475702,97,2335.486133
4.696806,19,2336.425689
18.55492,99,2341.387162
15.034012,109,2347.213716
17.969239,87,2351.55815
72.770592,150,2359.047377
7.037836,76,2362.837803
15.884768,106,2369.052409
10.187555,76,2372.545763
24.846244,70,2376.039811
49.591049,139,2382.986622
41.885431,118,2388.843813
0.209423,41,2390.962507
17.832207,52,2393.48316
-0.754177,48,2396.535003
17.594706,56,2399.315332
11.000114,52,2401.957366
11.033199,38,2403.818519
-0.735418,118,2409.717723
12.964914,58,2412.644874
5.059553,72,2416.208386
8.488226,150,2424.40384
47.681594,150,2431.915851
-31.060529,150,2439.422956
62.299109,120,2445.425669
8.179142,42,2448.128533
5.26679,130,2454.397268
8.185315,26,2455.737853
7.3695,36,2457.506766
-4.102134,71,2461.055747
11.026101,43,2463.205838
16.610336,150,2470.707251
-0.290096,52,2474.276896
1.011124,40,2476.295683
-34.341276,150,2483.532879
28.326613,123,2489.818959
4.183212,36,2491.695545
27.012707,76,2495.283841
12.092937,69,2498.700577
-32.776928,150,2506.549442
-22.500038,150,2514.028244
-36.528826,150,2521.526444
16.216753,64,2524.676301
2.387273,25,2526.559826
-15.547085,150,2533.804164
19.830441,150,2541.304548
-4.659033,150,2548.830109
-29.916418,150,2556.703517
12.016254,106,2562.016784
-37.316608,150,2569.505863
11.67326,150,2578.057802
-35.854769,150,2585.316751
-31.994867,150,2592.806953
-35.542059,150,2600.303494
0.055571,150,2608.226769
24.863052,150,2615.741671
-8.118439,150,2623.205489
5.250696,34,2624.890177
-33.33252,150,2632.921467
-36.44825,150,2640.338912
-35.243368,150,2647.838027
13.756418,150,2655.995558
-37.159777,150,2663.225097
-34.707451,150,2670.731647
-30.267435,150,2678.220214
-0.959234,150,2686.180125
25.22921,124,2692.416431
9.164463,47,2694.689522
-35.867672,150,2702.174404
14.825875,149,2710.24398
-0.976229,150,2717.652638
10.157704,150,2725.134659
-37.32729,150,2732.647087
-37.246859,150,2740.837933
-27.55127,150,2748.342797
-34.884071,150,2755.869493
17.606264,46,2758.132532
-36.414623,150,2766.463375
2.454438,29,2767.875997
18.231973,64,2771.117734
-24.826216,146,2778.353133
-35.75902,150,2785.877984
2.823286,30,2788.159935
10.3147,64,2791.232627
12.22254,52,2793.876101
21.376014,150,2801.338115
-15.671158,150,2808.832554
-34.036922,150,2816.71748
-35.988235,150,2824.223402
12.559299,55,2826.951694
7.084761,58,2829.866827
-35.890198,150,2837.387699
2.436132,70,2841.309034
30.224196,110,2846.741225
-34.362984,150,2854.311844
7.103608,59,2857.244021
5.643034,150,2865.412521
14.143741,75,2868.913949
-32.865143,150,2876.419847
40.662546,150,2883.909997
-9.409504,150,2892.172209
0.110083,30,2893.550578
-35.50272,150,2901.042291
-1.920376,91,2905.576078
12.069306,135,2912.357916
-28.282356,150,2920.255975
13.646198,47,2922.625709
-4.427435,33,2924.2491
38.539648,123,2930.407036
-22.702043,150,2937.915292
-35.27205,150,2945.761877
33.243728,150,2953.282737
-35.680676,150,2960.772343
23.743701,50,2963.252908
10.612549,49,2965.705413
20.163118,52,2968.318996
-30.176269,150,2976.288879
-6.325769,150,2983.763532
-32.09651,150,2991.282946
-37.242603,150,2999.100715
-36.506271,150,3006.578165
-35.80904,150,3014.063073
28.6327,150,3022.09843
17.085989,73,3025.675491
7.181408,47,3027.99042
52.446914,150,3035.499333
27.396536,150,3042.986122
1.150611,86,3047.817696
6.281544,71,3051.165236
-21.417129,150,3058.664837
-31.16734,150,3066.169355
13.020205,150,3074.552571
-34.508944,150,3081.839973
-33.49278,150,3089.354665
7.844255,38,3091.304539
13.647145,124,3097.433672
29.132793,111,3103.275471
-35.19249,150,3110.79993
17.566806,150,3118.305111
-29.814172,150,3126.362169
-7.217789,150,3133.69933
17.954237,72,3137.285694
-35.583091,150,3144.907526
-35.851669,150,3153.025522
39.421701,150,3160.4406
-37.231302,150,3167.970321
56.973104,150,3175.457731
-1.748114,45,3178.341201
30.835557,150,3185.666718
67.631032,120,3191.614581
6.68736,48,3194.061176
-7.270193,150,3201.572942
69.068174,150,3209.661249
7.628822,150,3217.188914
55.436683,150,3224.681422
64.438116,112,3230.819952
26.914759,70,3234.175607
-20.564461,150,3241.68607
-34.509182,150,3249.184678
-17.437774,150,3257.08029
-11.510987,130,3263.64132
45.613589,142,3270.645602
-36.951447,150,3278.137938
26.48235,61,3281.814857
-19.393826,150,3289.060941
-36.172748,150,3296.557319
-36.551571,150,3304.063423
5.67062,71,3308.229385
1.625534,16,3309.010905
-35.933971,150,3316.303478
47.93005,150,3323.759848
1.08744,150,3331.342551
-34.14197,150,3339.165551
3.058329,40,3341.169411
4.604931,45,3343.513561
13.049316,150,3350.918442
22.848244,150,3358.419487
9.999134,47,3361.487923
-37.209654,150,3368.762001
-32.143717,150,3376.272402
-37.139511,150,3383.792414
-2.985018,55,3386.897501
14.317651,95,3391.590473
-35.414839,150,3399.091437
3.891636,21,3400.107129
3.346679,27,3401.464601
10.759425,150,3408.994511
-8.48411,61,3412.630974
23.801071,82,3416.493446
-35.750937,150,3423.995241
45.175404,79,3427.969786
-35.870934,150,3435.447537
6.527725,37,3438.100651
-35.823584,150,3445.360489
37.840033,150,3452.863595
21.332294,96,3457.646872
51.410579,88,3461.998984
12.779495,27,3463.999885
9.242813,39,3465.726564
40.505951,133,3472.431652
17.329754,44,3474.645041
5.770612,26,3475.82668
16.666004,38,3477.712931
-35.786057,150,3485.240353
5.530464,27,3486.593412
9.079252,31,3488.146334
-0.950532,20,3489.729517
-34.687686,150,3496.99072
35.689054,106,3502.255034
-33.274512,150,3509.774915
3.040712,135,3517.043457
16.264061,44,3519.170202
6.062727,55,3521.975985
5.398708,26,3523.241997
10.99624,33,3524.987893
15.996548,65,3528.167641
5.467136,43,3530.267385
16.632376,40,3532.21697
1.955825,24,3533.441851
10.844065,71,3536.968715
10.649853,78,3540.887223
6.980181,25,3542.761841
-2.660018,75,3546.408831
4.360133,22,3547.616874
0.276312,15,3548.367852
6.239456,49,3550.633686
0.824773,27,3551.944906
-35.805988,150,3559.386312
8.22941,82,3563.49129
36.61697,76,3567.817586
21.063655,81,3571.668742
2.807784,85,3575.868331
