#{"t_start": 1689671617.9024782, "env_id": null}
r,l,t
5.70126,37,7.3362
-1.775463,22,10.652209
-0.76085,30,15.26287
4.888452,27,19.596641
-0.005513,21,23.039068
3.841666,23,26.754181
5.041198,23,30.471701
4.259299,29,35.157634
-1.70797,15,37.856949
-1.561143,26,41.697741
13.7599,42,48.514963
1.443556,20,51.928782
0.853843,46,59.418921
-2.085556,18,62.189573
1.233841,26,66.365445
1.28304,23,69.821091
-0.033835,25,73.682262
4.565286,41,80.402063
0.328128,24,85.491702
2.636466,18,88.408445
0.17319,16,90.76534
4.981305,31,95.308483
1.826405,20,98.600032
7.167766,34,104.128481
-0.014523,18,107.250336
5.652982,27,111.407159
2.700472,52,118.860004
2.309304,28,123.321511
18.105811,53,131.464345
-0.823464,21,134.168204
8.78321,40,140.885816
4.611888,22,144.185335
8.344514,33,149.271851
0.2801,23,153.235554
4.209983,33,158.824727
