#{"t_start": 1689671617.8634524, "env_id": null}
r,l,t
4.244728,34,6.919346
-2.069974,26,10.865577
3.357346,21,14.005498
2.298259,17,16.683336
-0.008164,15,19.110567
1.739378,25,23.144271
1.508969,14,25.457005
-1.321428,13,27.55888
-2.169741,20,30.751239
-1.993727,27,35.189271
-1.377071,36,40.768136
0.211362,22,44.311064
2.738341,39,51.007918
2.234824,28,55.714621
3.733974,34,60.912595
-1.919754,27,65.269703
3.429281,21,68.389108
6.138923,33,73.670799
2.881309,22,77.010264
1.951954,26,81.607898
-1.887587,21,85.901796
8.255462,50,93.707532
12.454755,34,98.837752
1.77912,26,103.097566
1.053515,19,106.454082
2.186078,29,110.929919
3.652789,30,114.914044
-1.393497,25,118.909464
-0.212582,26,122.921802
5.093951,24,126.680481
7.818147,32,131.599276
-2.014224,26,135.103456
5.593467,24,139.127299
1.514831,21,142.674383
5.37614,46,149.664522
6.107243,33,155.194266
1.981171,24,159.373329
