#{"t_start": 1696921883.253536, "env_id": null}
r,l,t
4.41799,318,65.994281
2.700877,247,115.351521
3.484643,276,170.498293
3.861255,211,216.575618
2.911303,167,249.991458
2.946449,140,277.978211
2.112355,96,297.183768
0.319552,67,310.51391
6.557553,193,349.053344
1.313124,97,368.477722
3.531153,85,385.453961
2.027534,123,410.047519
3.066382,93,431.9358
3.212004,124,456.710565
1.106173,52,467.04584
2.016709,98,486.625844
8.975901,64,499.417989
3.553045,64,512.135484
12.856727,181,548.239711
2.854909,58,559.815135
1.51662,34,566.570534
1.336534,25,571.583676
1.687234,60,583.549713
3.26125,107,605.053538
4.556511,88,622.4958
8.776472,139,652.909233
4.662333,65,665.854949
1.345686,26,670.995826
2.969222,51,681.092486
2.235868,21,685.264659
7.844086,77,700.655954
0.663606,36,708.016063
5.196457,49,717.578911
0.654786,16,720.742503
0.737334,27,726.094554
2.132118,38,733.641271
1.575462,55,744.571291
2.16661,33,751.19619
2.606176,67,764.568428
14.374459,103,785.065121
1.293823,49,794.831494
3.585528,38,802.451737
3.834672,118,825.858053
5.265074,41,837.923931
1.274,15,840.940541
1.491866,34,847.726168
2.601465,32,854.131849
1.17054,26,859.210054
3.291017,53,869.80104
0.177704,14,872.561044
2.303508,29,878.350282
5.856684,49,888.037032
2.088935,17,891.449849
4.026349,61,903.613957
8.086766,93,922.139788
4.658688,30,928.06879
1.980953,31,934.261954
1.571126,26,939.474543
1.596077,22,943.887184
4.298425,50,953.849439
1.91033,46,962.954842
4.046415,44,971.633257
3.903707,64,984.459636
5.602774,60,996.486068
1.57712,19,1000.273239
4.837442,47,1009.541452
7.948241,57,1020.871758
3.294335,37,1028.278348
0.836478,17,1031.650232
3.00182,33,1041.857058
10.873168,81,1057.922834
7.009531,36,1065.173788
7.325949,58,1076.730546
0.695747,17,1080.202857
1.45383,40,1087.980005
3.349155,25,1092.915605
2.42471,43,1101.513176
3.541274,30,1107.471717
15.473166,129,1133.152519
5.036263,39,1140.943903
2.377197,25,1145.933388
3.118864,32,1152.350182
13.525358,78,1167.754956
0.325497,16,1170.967925
7.228524,57,1182.20968
2.224869,30,1188.126893
3.716544,28,1193.717928
3.521146,41,1201.841707
7.601372,56,1213.029605
19.150538,114,1235.659041
25.772938,123,1263.115714
8.503133,49,1272.881346
2.388599,18,1276.362705
7.448546,38,1283.926156
4.819777,30,1289.978593
2.065527,30,1295.958613
1.187972,26,1301.056657
3.178072,20,1305.062945
4.121179,36,1312.200723
12.494958,59,1323.988025
2.133216,34,1330.737466
1.683577,35,1337.693767
4.619868,51,1347.832576
25.636154,114,1370.537632
2.380579,20,1374.544697
9.225033,75,1389.464829
5.258439,35,1396.548336
10.599328,70,1410.371669
