#{"t_start": 1693738337.9333131, "env_id": null}
r,l,t
0.089048,15,5.360115
2.236824,21,9.568976
0.807319,20,13.537335
0.024493,19,17.208877
1.327212,27,22.541403
1.937742,19,26.239661
0.073818,16,29.438021
0.170385,24,34.203843
2.724927,20,38.192109
0.416922,18,41.65851
0.240628,16,44.896992
-0.008871,14,47.648602
0.26925,19,51.356243
1.223791,24,56.047498
0.055731,19,59.870697
2.950466,23,64.494122
2.015984,19,68.240998
0.828455,18,71.904509
0.125778,21,76.109795
0.332703,17,79.375529
0.246069,15,82.228221
3.528017,21,86.386932
3.048485,19,90.204006
0.464125,28,95.690761
-0.061649,15,98.644835
0.598517,22,103.007313
4.058244,31,110.505069
0.127924,16,113.697823
0.230577,27,119.043171
0.720052,18,122.6887
4.866682,26,127.871243
1.546606,20,131.895491
0.305032,20,135.916212
0.065672,16,138.99502
3.696808,19,142.785195
0.754964,19,146.607777
1.473774,28,152.073926
0.54753,18,155.66156
0.3635,23,160.13266
6.609092,26,165.218351
5.161622,26,170.368798
0.140491,16,173.487724
11.707495,44,182.150745
3.115481,29,187.990739
-0.116852,13,190.533647
1.768601,16,193.739262
0.182231,22,198.082742
0.047146,17,201.37779
0.247364,17,204.697793
15.304423,48,215.943281
5.311428,24,220.638346
2.15377,22,224.9191
4.549761,26,230.144765
3.159027,20,234.186577
8.1586,36,241.35992
7.79707,37,248.819763
1.440397,22,253.152466
1.43379,28,258.730959
-0.077714,10,260.729963
1.109476,36,267.775229
8.492901,31,273.902136
1.815428,15,276.910658
8.420042,30,282.880288
0.426563,18,286.432493
4.616196,20,290.287493
5.923587,37,297.661612
0.927065,22,302.08914
0.452626,26,307.232727
-0.00995,14,312.433331
12.986668,51,322.432966
2.949289,21,326.585845
5.248652,32,332.903907
1.031423,19,336.680829
6.914944,32,343.057954
0.463482,20,347.052637
3.899763,17,350.403984
0.227289,17,353.673618
11.980242,39,361.365837
1.392667,17,364.701592
4.760609,30,370.712092
9.524263,34,377.46882
4.01071,29,383.207073
0.456949,17,386.528461
5.633933,29,392.290234
2.545647,17,395.675455
1.956043,19,399.483327
0.203388,21,403.664907
1.372666,14,406.493798
0.694405,29,412.160771
-0.113106,12,416.060334
3.415352,17,419.352688
0.106645,14,422.132008
3.744188,30,428.158343
4.226571,21,432.36515
2.206889,19,436.170681
-0.074945,12,438.559114
5.976384,22,442.956203
7.024973,29,448.80561
1.413227,17,452.039404
4.826017,24,456.770448
15.975948,41,464.918926
6.759868,45,473.875001
14.680781,40,481.866369
11.842256,41,490.002986
2.921815,26,495.059673
3.087423,17,498.394856
0.203403,22,502.794124
2.341942,19,506.565847
5.404455,19,510.269717
1.621735,22,514.617337
3.184283,18,519.988368
1.903984,17,523.381463
2.111696,26,528.563689
2.85237,16,531.785397
3.788162,17,535.141214
0.960233,17,538.525886
0.098436,19,542.340942
9.41768,41,550.439539
6.753393,23,555.068139
6.410838,27,560.481075
2.958747,24,565.168463
