#{"t_start": 1691007294.9599214, "env_id": null}
r,l,t
3.520305,38,3.799958
3.022458,33,6.322131
2.642041,25,8.251445
6.881423,38,11.156711
0.582829,31,13.517249
0.345396,16,14.731519
4.242327,38,17.647607
2.95698,32,20.178168
-0.305997,22,21.834036
4.086064,32,24.319989
1.661335,18,25.696108
2.45108,30,27.922932
-0.646414,14,28.966345
-0.690655,16,30.112196
1.133746,27,32.065475
0.644669,18,33.441029
0.067271,24,35.250689
1.863773,27,37.323896
3.16988,33,39.747068
8.657444,42,42.808178
4.519711,17,44.098879
1.667227,35,46.794966
0.557625,17,48.045267
2.38741,22,49.691554
3.784853,27,51.698317
0.242527,23,53.409802
1.673634,26,55.346215
0.862517,18,56.712249
-0.372147,21,58.265059
0.124033,20,59.739747
5.577626,47,63.339664
1.016053,23,65.040176
3.702253,34,67.554218
12.158897,46,71.030859
5.541252,40,73.938126
0.693449,20,75.451284
0.848644,24,77.2608
-0.787043,13,84.250527
1.121533,28,86.363
1.949514,35,89.010979
2.844528,28,91.076138
3.64619,38,93.843993
1.676123,37,96.541515
2.600494,37,99.272815
-0.187304,28,101.346219
1.770865,23,102.99958
2.016723,36,105.780467
0.482572,34,108.299002
2.665711,34,110.806986
0.784321,27,112.854992
1.830859,29,114.975832
-0.635693,12,115.875905
2.148089,39,118.744876
2.411893,31,121.079384
-0.156632,21,122.700798
2.025615,22,124.294611
1.445875,21,125.856211
2.121108,30,128.130311
-0.287187,14,129.235969
5.932076,44,132.455389
1.942118,34,134.944225
1.15439,52,138.837443
1.131985,28,140.898821
2.470325,25,142.82966
2.493524,24,144.664607
2.273677,29,146.858258
2.406058,41,149.889311
2.854543,29,152.070813
2.780464,27,154.106254
0.23281,25,155.919935
7.153768,41,159.000026
2.860169,35,167.378738
2.726135,21,168.93844
1.841282,34,171.52019
4.559842,46,174.909299
1.821798,22,176.549025
4.959822,40,179.501815
0.655548,16,180.687521
5.02608,47,184.177294
2.442883,42,187.300458
1.854807,26,189.271357
3.433347,41,192.332081
0.421175,31,194.571727
1.395764,23,196.305396
0.779744,27,198.288568
1.598906,28,200.401656
1.594633,36,203.087777
4.310255,44,206.347742
-0.499222,21,207.938839
1.104945,28,210.049947
3.356665,39,212.998386
0.922906,19,214.38304
2.775929,27,216.317603
2.277997,31,218.596054
1.904043,27,220.636755
0.429694,39,223.552769
2.227931,37,226.312317
0.867575,17,227.591667
3.04872,32,229.975722
0.577973,20,231.520886
3.168964,35,234.126755
0.223312,23,235.8171
3.977226,16,237.015588
7.760022,48,240.537368
0.390373,26,247.831423
2.358712,30,250.085735
-0.354466,18,251.378906
