#{"t_start": 1697044720.7240021, "env_id": null}
r,l,t
1.606383,20,2.00383
10.000445,40,3.98894
0.898423,19,4.931364
2.369315,30,6.402069
1.63145,19,7.337582
1.006276,17,8.207941
0.952609,18,9.058995
0.681416,17,9.912999
0.710382,17,10.756435
0.895416,20,11.729364
1.058156,17,12.579494
4.161053,35,14.303908
8.42609,45,16.547647
1.52323,22,17.618212
0.75298,18,18.516198
5.690018,28,19.934438
0.793645,21,20.966416
7.904451,36,22.719507
1.011613,17,23.54329
1.343391,26,24.820649
1.203093,23,25.97527
2.92094,27,27.292549
1.529828,22,28.381479
1.070772,18,29.307957
0.568746,18,30.137388
1.43015,16,30.963366
1.693251,24,32.160591
0.831091,14,32.842284
1.557369,20,33.848037
1.004589,16,34.624152
1.049108,16,35.391235
1.727062,24,36.611144
2.288075,21,37.637485
0.696111,17,38.458775
0.573544,14,39.15679
2.043201,36,40.914149
6.063149,27,42.251684
0.834392,14,42.92039
0.665551,15,43.652955
1.796909,21,44.652363
0.684567,13,45.353935
0.821337,16,46.122087
6.436078,27,47.473416
4.180197,19,48.440721
1.044229,14,49.118297
2.577842,20,50.104156
3.109114,17,50.964756
1.862925,14,54.243168
1.479238,15,54.680553
0.98783,19,55.647923
1.654241,18,56.497528
4.466081,32,58.063543
0.858591,20,59.085709
0.686273,16,59.87821
1.130061,18,60.756474
0.464952,15,61.497127
2.531522,18,62.418748
6.656216,28,63.804837
8.074171,27,65.118147
3.440668,19,66.036387
5.078396,28,67.425625
3.289426,19,68.393476
2.91301,18,69.265128
1.225137,21,70.303507
0.836286,14,70.990531
8.166756,38,72.834333
1.798233,17,73.672732
2.319283,22,74.775186
0.883771,15,75.509901
4.291525,25,76.76187
3.177159,27,78.079318
4.759438,20,79.072581
1.918543,15,79.81265
3.242224,27,81.16557
0.837122,13,81.798708
0.971031,15,82.547141
11.976341,36,84.338223
0.50426,15,85.113359
0.708453,13,85.713326
2.419548,17,86.558767
3.601658,23,87.707011
3.389323,21,88.755393
1.170189,15,89.436765
4.45314,23,90.603314
2.813362,20,91.574657
0.93187,15,92.312795
1.767116,22,93.423529
0.990447,18,94.287795
0.923408,14,94.991204
2.458788,21,95.992469
1.372876,19,96.921657
1.028034,16,97.719244
0.801226,15,98.451954
0.974465,18,99.355109
0.705662,14,100.050097
2.585129,20,101.064046
3.21832,15,101.7855
6.62712,29,103.189104
2.026642,23,104.326491
8.761074,32,109.477214
7.3412,34,111.185235
1.48425,19,112.068908
0.52656,15,112.858215
2.767108,21,113.861986
7.048545,33,115.534439
2.893404,32,117.090323
7.197625,35,118.866134
2.810429,23,119.989407
5.785565,29,121.468917
1.994468,30,122.928553
4.915413,25,124.16454
4.542926,27,125.464716
6.996535,33,127.119562
1.240623,19,128.074599
0.725182,14,128.765489
2.437347,21,129.819293
3.461601,25,131.037546
0.96238,18,131.965122
3.522349,32,133.564734
1.016626,16,134.333121
0.928555,17,135.179947
1.385674,14,135.899133
0.65959,17,136.736801
1.042783,19,137.698759
2.529351,20,138.695189
1.633601,18,139.573699
2.169978,19,140.538979
1.657039,19,141.454791
5.795763,24,142.632043
1.756486,15,143.400528
1.365645,18,144.290372
1.979565,23,145.412794
4.033683,24,146.6393
4.925499,13,147.246653
2.130391,14,147.940387
2.066369,18,148.874142
4.238537,18,149.764579
0.946205,20,150.741185
4.575289,20,151.743763
4.703034,18,152.61284
6.474976,25,153.823549
7.088605,29,155.286891
2.22669,14,155.963951
5.054999,25,157.190718
6.506281,22,158.267206
8.789704,27,163.466278
4.556854,29,164.871837
8.776892,39,166.810355
6.558694,32,168.41462
9.016014,43,170.541713
4.861315,28,171.936048
3.777367,24,173.12584
0.746138,21,174.128163
7.427038,31,175.679554
8.567388,36,177.445104
7.845898,36,179.26214
0.853472,16,180.063282
5.628265,28,181.443842
1.181921,21,182.464595
7.363838,27,183.796722
3.154528,26,185.104694
5.83187,34,186.744101
8.446092,34,188.425049
2.504433,21,189.456474
3.694489,27,190.827098
2.577327,28,192.172003
2.120164,23,193.331103
7.622204,32,194.914858
3.800233,29,196.340843
2.478954,21,197.376579
1.496003,24,198.584765
8.940579,41,200.581208
7.937673,41,202.629653
0.940915,18,203.514578
7.235196,47,205.825269
2.686912,27,207.159142
4.885208,30,208.640245
2.095966,28,210.041917
1.30588,25,211.283182
1.287266,20,212.27911
5.856229,31,216.615371
7.567664,47,218.859946
4.91654,28,220.234489
4.631663,28,221.636283
12.402561,52,224.166724
5.994827,26,225.45712
8.471304,38,227.344517
6.141273,33,229.009138
5.898617,27,230.321103
1.013362,23,231.476711
4.455307,26,232.729536
1.263376,18,233.606784
1.814993,19,234.580772
4.849461,33,236.156662
2.044712,21,237.232984
10.077663,41,239.30027
4.195395,32,240.822052
1.386125,20,241.855466
1.606354,19,242.803784
3.407626,19,243.722801
3.80712,24,244.90301
1.297259,20,245.903829
2.990656,21,246.921169
3.966845,26,248.21673
0.581333,15,248.943407
2.078222,19,249.907501
3.497463,14,250.59814
2.458184,19,251.564588
1.208717,18,252.42913
10.261813,31,253.979862
0.635663,15,254.693187
4.81232,29,256.095076
2.770262,18,256.994781
4.137205,29,258.449556
2.27345,16,259.250542
1.694234,14,259.953243
2.484396,22,261.032596
3.17322,22,262.118556
2.668389,14,262.825611
0.9923,15,263.551342
1.080594,18,264.4332
3.770129,28,265.825832
6.934024,28,269.26983
5.950972,30,270.718237
3.112424,29,272.182121
1.284423,22,273.26291
8.355247,49,275.658667
10.746335,40,277.672442
4.534785,30,279.160854
4.642349,29,280.608816
9.307576,32,282.218385
8.308538,45,284.440197
2.784783,20,285.40642
6.233949,40,287.400204
5.798867,28,288.782892
5.084244,32,290.397533
1.420416,18,291.288293
1.436976,24,292.486892
1.808064,28,293.860744
5.318779,26,295.124582
4.204504,34,296.797469
1.083814,18,297.679994
3.710645,33,299.286429
1.548218,16,300.064972
2.176104,20,301.063579
2.351467,20,302.056113
7.756238,31,303.604797
3.414995,23,304.764156
3.621891,21,305.769017
1.527751,15,306.526524
4.298552,34,308.203103
3.053913,21,309.247802
2.366185,24,310.407168
1.683731,24,311.580076
0.702166,15,312.331054
9.601814,40,314.325827
2.233774,17,315.153075
5.650009,26,316.445081
0.928437,19,317.390684
7.040968,29,318.824772
1.119737,20,322.518512
5.468619,27,323.776308
6.64188,30,325.287173
7.476183,33,326.893515
8.827683,32,328.50886
7.092238,34,330.171101
3.983652,27,331.498276
1.047093,23,332.620818
7.349026,30,334.148105
1.760383,19,335.063115
7.875289,41,337.099332
7.96785,33,338.743447
5.406483,30,340.25225
7.096073,29,341.677106
1.697777,15,342.426779
4.826081,25,343.690863
8.374302,33,345.34092
1.382403,15,346.050259
4.145424,29,347.492766
6.919483,29,348.92244
2.703905,20,349.911211
3.912305,28,351.310423
2.519765,19,352.190392
6.613029,42,354.243148
8.798199,38,356.113323
3.304264,25,357.359753
6.19542,32,358.962212
7.356728,29,360.409433
6.086224,33,362.091936
4.366239,30,363.548525
4.455065,27,364.934672
1.541106,18,365.825606
4.685239,23,366.914644
12.011143,33,368.581152
8.362796,45,370.794372
2.442723,19,371.724894
2.981372,24,376.292386
4.005459,30,377.542237
6.435357,32,379.167939
4.173037,21,380.159334
2.531652,19,381.109648
1.52068,16,381.920923
1.619935,21,382.926781
2.364961,27,384.308319
1.01289,19,385.241062
2.231733,23,386.392673
4.061363,27,387.726785
2.141479,21,388.780922
1.431661,16,389.562803
6.279843,26,390.865864
6.929008,24,392.028153
3.1085,32,393.667535
1.133595,18,394.58219
1.019535,15,395.312495
2.285438,20,396.284471
4.242871,22,397.398495
2.940607,21,398.44465
1.74647,16,399.247115
8.758116,40,401.190004
1.181764,18,402.079614
2.458342,21,403.105896
3.080478,17,403.957232
1.425596,22,405.041297
0.875823,17,405.894542
4.390674,29,407.360043
0.659691,13,408.001896
3.390442,23,409.117723
6.199229,28,410.524683
3.704801,20,411.530327
2.6754,21,412.5738
1.46159,18,413.4594
6.001075,24,414.671263
3.64441,21,415.665699
1.09866,17,416.519178
5.935175,28,417.932904
1.064101,15,418.677669
1.797655,17,419.528399
1.552056,15,420.306286
7.27075,30,421.772496
3.385531,23,422.92164
2.479643,19,423.817979
3.213365,23,424.989439
4.072885,21,425.991593
4.018761,32,430.220379
4.349621,25,431.439367
6.932732,33,433.074444
6.647676,28,434.478707
6.281788,29,435.908104
7.81381,43,438.055542
7.213411,34,439.741938
1.438778,21,440.763241
9.750075,37,442.620028
5.462776,31,444.12133
3.172293,22,445.240456
4.816772,25,446.471999
7.519559,41,448.500847
5.122803,37,450.313855
6.159047,44,452.535528
7.136304,27,453.879616
5.231454,34,455.594636
7.276436,30,457.096241
6.881158,29,458.51155
8.46953,44,460.687481
3.883866,26,461.991129
6.913737,31,463.52852
7.980865,50,466.011618
3.864241,30,467.519963
6.463411,33,469.125556
8.755122,30,470.584278
1.235483,23,471.738123
1.26386,19,472.701713
4.812942,44,474.894792
7.980323,34,476.559549
2.357989,25,477.787096
8.881344,36,479.532059
3.417175,23,484.439604
7.682969,38,486.286889
6.432098,32,487.850378
1.982187,18,488.751567
5.91223,28,490.178063
4.669591,22,491.275139
1.079233,21,492.316907
3.458661,27,493.698967
6.898176,31,495.197216
1.633008,22,496.249211
5.859645,44,498.449867
10.976069,36,500.215385
2.101311,17,501.081794
6.960731,31,502.583783
9.656184,38,504.46914
6.080935,33,506.085434
3.460163,26,507.342989
4.50043,36,509.15455
7.070637,32,510.728449
4.676494,31,512.222692
1.172016,23,513.361019
4.532811,29,514.779712
6.873629,35,516.54669
6.187681,34,518.227941
5.733578,37,520.071747
8.199167,40,522.073901
7.277488,32,523.627436
3.931086,32,525.198746
6.753877,31,526.768048
4.716089,30,528.221997
4.124032,34,529.926617
7.814647,36,531.706414
6.035761,30,533.17869
5.544997,30,537.424525
8.955154,33,538.853126
7.416019,31,540.40788
3.543948,28,541.805622
5.026418,28,543.164348
9.097475,33,544.810682
2.786954,33,546.490827
9.742479,40,548.470646
7.80601,35,550.195786
8.233819,35,551.899911
4.187247,42,553.965151
6.644077,40,555.986538
7.314077,30,557.471296
5.925645,25,558.733881
1.833872,23,559.868269
7.019593,36,561.66021
2.352653,20,562.648682
6.293591,27,563.962426
9.150176,45,566.206494
4.335495,37,567.986427
6.859263,36,569.813334
5.875333,34,571.477355
3.682718,35,573.246571
10.592863,45,575.432976
4.805213,32,577.059071
7.753714,29,578.484822
3.106544,26,579.790015
8.057564,29,581.203772
9.205259,43,583.342166
7.526484,34,585.047344
7.276677,39,586.973784
3.023505,25,592.186986
14.780476,65,595.248784
8.701698,32,596.862726
8.391347,38,598.761822
4.843995,39,600.704788
4.298378,28,602.103413
7.387399,30,603.604325
11.991016,52,606.224108
8.148802,30,607.67154
4.540186,34,609.390354
8.542354,41,611.423003
4.61984,24,612.626453
3.388447,22,613.725486
5.859449,26,615.022172
7.420093,29,616.459874
2.90199,21,617.493425
3.371523,22,618.593616
7.199771,49,621.021758
5.359919,26,622.321053
8.42087,31,623.832342
4.283191,28,625.217114
0.664818,16,625.991491
1.685265,21,627.01832
6.823601,40,628.973052
12.548312,45,631.245017
10.880182,36,633.044274
5.012514,39,634.984981
0.930024,19,635.948938
2.547769,26,637.18136
8.281579,37,639.062714
7.063041,33,640.681298
1.55137,19,641.630433
2.474317,19,646.043414
13.750006,51,648.293796
7.714646,32,649.877824
9.312685,32,651.443161
8.025213,38,653.340756
6.633987,47,655.690456
7.316382,40,657.697176
9.527785,33,659.341928
3.059135,20,660.332817
1.906396,27,661.663904
1.764581,17,662.51537
3.909117,35,664.263029
1.757076,23,665.424419
1.928796,13,666.054443
10.060715,35,667.808342
1.782375,15,668.570751
12.766119,36,670.342257
2.585217,21,671.419497
1.294997,22,672.50734
7.056517,27,673.814028
3.965718,22,674.895334
2.28516,22,675.995558
2.010072,19,676.918315
1.449891,17,677.741523
2.80224,40,679.726258
2.464228,22,680.819249
1.025715,16,681.598944
6.456398,30,683.121192
10.641243,31,684.677211
