#{"t_start": 1697244011.4057531, "env_id": null}
r,l,t
4.295266,258,26.880329
3.125954,112,38.036632
1.857382,52,43.223977
2.274261,128,57.174958
11.791647,410,98.133214
2.635726,89,108.88436
6.651885,158,124.65674
2.522248,117,136.316429
2.82672,71,143.378419
11.281964,326,177.747948
4.261177,108,188.480487
5.331563,63,194.785399
4.791723,64,201.185774
7.593611,193,222.312746
5.113902,106,232.900959
2.990857,62,239.10008
20.238069,410,281.753557
6.078536,35,285.238567
3.30408,79,293.108834
7.103513,158,308.919491
4.138836,117,322.354027
4.14872,35,325.867726
3.767838,42,330.042686
7.083569,39,333.962404
8.706973,76,341.553352
5.891388,131,354.605304
5.644448,28,357.430073
3.885551,49,362.290957
1.297603,45,366.791975
20.348501,310,399.663726
12.832499,112,410.853246
17.270221,292,441.646811
5.521615,91,450.793296
5.817081,120,462.72258
23.577164,300,493.947081
4.252691,47,498.640784
12.261583,233,521.957222
26.679267,299,553.077774
24.142349,260,579.099705
28.824537,241,605.107015
24.586844,241,629.176336
31.243046,291,659.719224
26.12484,299,691.550863
30.595671,302,721.724617
30.798632,263,749.902152
32.350754,216,771.487771
32.117569,275,800.76
28.87182,277,828.488339
31.247812,198,850.073096
29.624952,218,871.87231
14.685018,149,886.794266
16.941535,140,902.521138
31.073324,189,921.429772
31.949924,223,943.675864
32.872707,236,968.445462
30.41715,224,990.829653
32.865067,176,1010.342909
28.248531,169,1027.245231
29.78106,245,1051.760755
30.910113,183,1072.006978
32.256482,186,1090.606775
55.256326,399,1131.669234
32.245151,206,1152.240162
31.79637,211,1174.650898
32.923235,170,1191.635493
31.222243,181,1209.690822
33.443924,181,1229.720647
32.402744,206,1250.325468
27.400662,176,1269.212552
28.931232,163,1285.45844
31.102926,198,1305.28676
30.751682,260,1332.634709
32.996099,189,1351.52001
41.20448,229,1375.451472
31.536192,212,1396.616445
33.823916,220,1418.620834
32.798105,201,1439.803766
33.203089,207,1460.507541
58.628834,387,1500.165068
32.61776,224,1522.575556
36.733596,337,1557.300531
51.166594,410,1599.576023
38.613616,278,1627.369569
33.946814,253,1654.520341
32.796045,194,1673.954443
58.172992,367,1711.928893
34.092041,194,1731.316559
37.46787,242,1757.388373
40.622627,245,1781.887657
36.061025,225,1805.927448
35.271772,247,1830.649153
54.905072,336,1866.141152
41.389206,239,1890.009329
59.177647,359,1927.155422
30.676658,169,1944.045803
64.979946,410,1986.894289
56.416667,410,2029.751765
37.13393,276,2059.09855
62.856483,410,2100.063251
53.662006,410,2142.135912
61.038539,410,2184.974239
39.771329,297,2214.63457
60.463539,410,2256.742938
54.97892,410,2299.585374
34.040479,218,2323.306895
41.651064,240,2347.315178
39.775662,311,2380.23543
65.809383,410,2421.204693
62.705667,410,2464.098491
66.662369,410,2505.993566
61.409223,410,2548.187187
52.563734,410,2590.378847
62.055374,410,2631.385948
66.440695,410,2673.620079
33.859082,264,2701.194633
58.328968,410,2743.595887
64.258434,410,2784.565076
62.741624,410,2827.399293
56.098318,410,2870.244565
66.823818,410,2913.155502
56.270484,410,2955.369111
62.528028,410,2996.341607
58.986107,410,3039.202957
55.638832,410,3081.432931
64.484723,410,3123.642389
58.397799,410,3165.860824
54.388017,410,3206.83087
54.928493,410,3249.671365
60.876186,410,3292.467104
54.693941,410,3334.582679
56.453249,410,3377.350744
41.850081,410,3418.323416
53.72238,410,3460.436801
43.763348,410,3502.683831
51.490063,410,3545.573276
51.211364,410,3588.427918
48.172484,410,3629.389594
54.109987,410,3671.621603
57.308397,410,3713.826762
34.864776,410,3756.012344
49.662158,410,3798.219726
39.355653,410,3839.197076
39.688512,410,3881.100161
47.616076,410,3923.266846
50.095387,410,3965.335173
34.974962,410,4007.530775
34.103517,410,4048.514662
35.338588,410,4090.644773
34.698401,410,4132.93684
34.099934,410,4175.756543
33.822317,410,4218.010671
34.373642,410,4258.974703
34.358194,410,4301.256109
33.803125,410,4343.490943
34.043873,410,4385.559729
33.799366,410,4427.795755
33.582235,410,4468.777752
33.874012,410,4511.034193
34.067533,410,4553.866992
33.709628,410,4596.146371
34.070702,410,4638.323324
33.922566,410,4679.295137
34.656114,410,4721.498307
33.590164,410,4764.30005
33.901232,410,4806.478792
33.949259,410,4848.690523
33.743947,410,4889.676482
33.490586,410,4932.008327
33.629759,410,4974.273177
33.591492,410,5016.523056
33.485044,410,5059.347203
33.434386,410,5100.310921
33.427706,410,5142.564312
33.677959,410,5184.781129
33.207574,410,5226.912714
33.626752,410,5269.205492
32.953318,410,5310.166522
49.369957,410,5352.367147
33.418259,410,5394.394715
41.316083,410,5436.438457
33.380992,410,5478.421702
33.438513,410,5519.389669
33.873287,410,5561.680663
34.148021,410,5604.499819
56.264482,410,5646.770431
34.054435,410,5689.69719
33.141822,410,5730.667138
33.811907,410,5773.51902
42.842844,369,5811.531775
35.741481,410,5854.394928
34.100124,410,5897.553104
36.996213,410,5938.265037
48.920733,410,5980.701638
7.673191,60,5986.715509
42.031576,368,6025.477243
40.620651,410,6068.004531
49.130582,410,6110.067927
39.88617,318,6141.878751
42.279166,410,6184.640266
46.412318,410,6226.866602
49.244476,410,6269.159605
52.493517,408,6309.933493
40.464484,410,6352.150826
50.956036,410,6394.335679
41.322425,273,6421.662566
53.575015,402,6463.78066
52.985132,323,6497.936478
50.734879,333,6533.056895
54.177305,332,6566.276707
4.247717,38,6570.049909
41.315209,270,6598.927171
57.637877,410,6641.810143
56.161455,410,6682.776601
57.157916,410,6724.728004
41.074265,287,6754.48661
56.804141,410,6796.714292
60.65242,410,6837.677492
58.467147,410,6880.611394
60.069944,410,6923.454666
71.486304,410,6966.278914
64.449112,410,7008.549684
70.874409,410,7049.533236
71.895047,410,7092.434054
68.529248,410,7135.345067
67.319906,410,7178.259277
74.164005,410,7220.412925
75.302504,410,7261.376882
65.738087,410,7303.660569
31.638099,168,7321.595625
76.984145,410,7362.530555
67.326354,410,7404.764213
78.656701,410,7447.617515
75.894822,410,7489.843474
72.029233,410,7532.256667
72.208653,410,7573.236977
73.437995,410,7615.456811
76.438145,410,7657.643689
76.620585,410,7699.841368
78.449157,410,7742.666693
75.947254,410,7783.629957
71.614667,410,7826.539942
76.941228,410,7869.367738
76.98135,410,7912.196788
70.254081,410,7954.373978
81.016166,410,7995.349041
70.727114,410,8037.566701
77.529723,410,8080.47696
32.293747,148,8095.244882
