#{"t_start": 1696921883.2590952, "env_id": null}
r,l,t
3.717655,326,67.593166
1.176127,105,88.576561
5.468036,251,138.756009
1.12896,22,143.15844
2.572497,292,201.481413
2.471855,136,232.611566
5.29855,241,280.78401
1.451622,68,294.395207
5.944645,162,326.699107
0.925223,58,338.324335
8.465897,186,375.44384
2.893301,172,409.836477
3.734883,71,427.373527
7.111147,162,459.755387
11.403577,66,472.809769
7.269059,69,486.627262
1.052755,44,495.418649
4.853925,53,505.953986
1.31256,47,515.316246
0.307838,44,524.036617
6.423829,190,562.044743
1.272808,32,568.395608
4.300812,95,587.345797
1.503202,64,600.13637
3.421968,137,630.167046
0.942019,29,635.915813
1.216806,25,640.919667
4.656597,46,650.077624
2.706475,34,656.819519
7.948794,73,671.415926
6.191633,81,687.474725
5.807832,36,694.710308
1.166293,44,703.452299
1.474606,66,716.564456
0.663714,49,726.296367
3.598628,44,735.007065
0.909725,50,745.053325
1.154008,44,753.78927
2.072783,66,766.94443
2.29379,27,772.321599
0.981688,17,775.670629
4.452836,83,792.22905
3.002055,25,797.245558
-0.075159,13,799.866251
0.770088,22,804.252057
5.943229,55,815.206237
1.273535,33,821.653363
0.351224,13,824.228949
2.249187,40,836.166897
2.18823,35,843.111886
0.836725,17,846.53124
0.589957,24,851.3702
8.512237,84,867.978867
1.063684,26,873.201618
2.596001,24,877.985553
1.62133,24,882.669715
12.755751,90,900.585901
2.324882,29,906.425316
2.835417,24,911.177918
0.618009,17,914.613571
5.945293,50,924.503605
2.452754,24,929.277655
2.793146,20,933.335125
1.494615,35,940.253816
1.346968,32,946.661397
0.678956,14,949.421041
0.694269,22,953.878076
0.421126,13,956.569508
10.325416,67,969.675778
2.769851,24,974.430196
0.380332,13,976.96886
1.957164,22,981.322911
5.379778,30,987.323646
5.16057,44,996.12666
2.717582,28,1001.750026
7.052131,65,1014.625575
2.560212,21,1018.815926
2.559325,70,1032.728494
2.447616,24,1037.448837
10.838854,93,1059.883372
5.433584,34,1066.705118
1.322268,17,1070.074246
7.788775,43,1078.648621
0.633561,13,1081.099896
1.770084,17,1084.424095
12.391516,67,1097.786274
2.664349,30,1103.818465
3.574896,46,1112.877989
7.352006,67,1126.171522
3.630165,29,1131.936818
3.210653,24,1136.747732
11.220003,67,1150.150599
3.229845,33,1156.633499
0.102766,14,1159.372634
1.89963,17,1162.72766
0.986373,23,1167.301942
3.544113,48,1176.815809
1.704179,36,1183.962597
7.368576,35,1190.86591
1.359359,26,1196.038321
2.140619,22,1200.453715
1.364395,28,1206.039083
7.181677,68,1219.617855
5.255382,71,1233.764219
6.477783,52,1244.185969
2.770972,26,1252.178793
1.176968,21,1256.293635
1.254642,54,1267.063108
1.854829,29,1272.838116
20.227366,159,1304.57096
0.699685,20,1308.454038
14.990771,95,1327.500206
12.27304,79,1343.185787
2.21182,24,1347.881848
8.676382,61,1360.074036
1.537587,27,1365.307208
19.47325,84,1382.101794
7.144099,67,1395.496089
8.003225,46,1404.601059
6.037835,39,1412.294268
1.332575,21,1416.500963
5.336128,71,1430.655375
1.285954,26,1435.839207
2.069831,23,1440.387667
2.030476,15,1443.393085
2.163565,17,1446.731171
0.480441,15,1449.709838
2.625909,28,1459.059541
4.31165,29,1464.859275
11.478834,58,1476.439209
5.843786,36,1483.485741
5.206332,47,1492.910288
11.371003,62,1505.341551
1.048235,38,1512.849955
13.162224,55,1523.80024
18.149223,98,1543.389228
4.292067,24,1548.146822
9.117301,68,1561.757074
10.265363,63,1574.344005
1.644224,23,1578.952231
2.052753,21,1583.149491
1.911823,20,1587.153049
4.434874,30,1593.011928
8.392881,41,1601.170821
9.134633,59,1612.876801
2.406601,19,1616.684072
2.90087,26,1621.891547
17.663575,120,1645.687397
7.301099,50,1655.583219
1.191985,18,1659.135754
4.051621,30,1668.199833
12.574918,59,1679.969302
8.896092,49,1689.69391
4.188701,25,1694.718645
6.29566,37,1702.140476
13.940005,65,1715.065208
1.747575,24,1719.953984
5.92867,35,1726.8562
5.180616,37,1734.254288
4.811158,48,1743.714795
1.567571,16,1746.848545
14.069426,64,1759.562929
14.424859,69,1773.356434
2.91792,25,1778.349206
2.00278,25,1783.325556
3.038698,20,1787.341068
14.756068,73,1801.898712
7.535529,38,1809.458504
9.576664,38,1817.09489
8.011022,41,1825.203193
3.381216,27,1830.5937
2.315346,21,1834.709174
9.144091,53,1845.274237
1.562109,31,1851.471746
9.311552,51,1861.740709
12.905933,59,1877.26483
9.317929,69,1891.01853
5.613248,28,1896.572882
10.190264,70,1910.590745
17.824766,73,1925.02953
6.817648,38,1932.504734
1.841318,20,1936.414252
8.401829,38,1943.985605
2.660932,28,1949.586839
8.599658,45,1958.52611
1.907135,22,1962.943849
16.81119,61,1975.003425
12.116563,51,1985.206416
5.374197,45,1994.14338
12.759444,48,2003.866189
2.143056,18,2007.366542
9.404943,46,2016.438121
4.465525,32,2022.842044
1.348796,27,2028.213299
8.816516,41,2036.367893
9.617785,50,2046.308198
4.302255,26,2051.522757
1.021575,15,2054.490736
2.16742,17,2057.811831
0.984923,15,2060.814643
1.525973,19,2064.505484
5.057555,27,2069.930009
4.352472,28,2079.416966
4.458113,28,2085.002743
1.889588,21,2089.203489
13.407088,65,2102.181626
0.927888,15,2105.160507
4.156052,22,2109.561849
6.299633,31,2115.664764
3.151004,24,2120.43652
2.518454,18,2124.039338
0.532105,12,2126.422305
11.39631,43,2134.992782
