#{"t_start": 1691007292.3409073, "env_id": null}
r,l,t
1.802367,17,4.723701
0.885682,29,6.98739
1.433814,30,9.319792
4.38468,33,11.875668
1.520329,26,13.82903
1.02147,31,16.20711
1.574437,26,18.19143
1.163172,27,20.246402
1.83174,20,21.89339
1.632241,34,24.475662
3.135902,33,27.035376
0.400652,22,28.698484
0.161298,22,30.338649
0.653714,26,32.237592
5.061691,54,36.210841
0.852417,21,37.783435
1.950151,21,39.34665
6.137414,38,42.247804
3.535601,42,45.305978
2.001067,20,46.789242
5.016607,37,49.627782
0.480443,33,52.044513
9.864142,41,55.104213
-0.412118,19,56.57653
-0.002717,25,58.422829
8.133646,35,61.035852
3.150517,34,63.588607
5.443366,34,66.189802
0.486389,18,67.49316
3.034509,23,69.217258
0.555433,16,70.4017
0.83164,19,71.813958
2.95315,26,73.820614
3.176865,28,75.81915
10.355612,49,79.447063
2.450306,33,87.998535
1.125243,21,89.587133
1.000692,20,91.070704
1.171032,21,92.600437
3.107431,39,95.542149
2.952287,32,97.847623
4.622079,35,100.438344
0.086742,22,102.073963
8.997825,59,106.426037
0.452204,18,107.778869
2.844143,19,109.230285
10.831426,38,112.032152
0.070412,12,112.927666
-0.351205,21,114.512313
5.084488,38,117.318586
0.71777,24,119.089609
0.661197,28,121.106938
0.763396,29,123.265277
1.354331,19,124.810648
-0.661236,18,126.104734
-0.659417,15,127.213537
2.462173,30,129.503027
1.730309,23,131.222628
0.081397,23,132.951831
1.673368,25,134.809663
2.190852,39,137.665716
5.748757,72,143.019034
1.386557,19,144.463288
1.137982,24,146.326432
3.833425,33,148.804638
1.040071,30,151.067354
1.072633,34,153.549523
3.944916,38,156.38123
2.42693,24,158.156587
2.572358,25,160.083369
0.548956,25,161.906647
3.942249,29,169.822448
0.52014,23,171.57893
3.856122,35,174.1977
0.076265,21,175.787325
0.879969,25,177.61031
0.121348,19,179.023441
2.627708,31,181.304954
4.10056,41,184.344181
1.316227,30,186.590492
9.862759,51,190.39784
6.560025,51,194.218901
1.861199,27,196.193613
-0.288643,17,197.400009
9.910771,43,200.618217
-0.06919,28,202.732541
1.505182,24,204.520126
0.719845,23,206.258168
2.516759,32,208.61456
7.274554,46,212.073211
0.602268,20,213.577835
3.74563,35,216.188501
1.638931,29,218.309711
4.977646,40,221.248063
2.188139,26,223.197525
1.545751,23,224.84884
0.553984,17,226.146109
1.495694,27,228.159548
1.236284,32,230.538115
1.528465,18,231.907003
-0.539864,23,233.651932
0.402746,20,235.14658
7.611604,44,238.435221
0.862806,28,240.500061
-0.940349,20,242.008361
4.012465,34,244.56948
3.164488,24,251.717217
1.24505,24,253.429461
1.504394,15,254.557569
4.487724,41,257.538215
0.990458,25,259.366102
0.558617,29,261.519451
1.73489,27,263.493845
4.116475,59,267.874808
3.584422,42,270.929424
1.093907,43,274.128319
2.284464,34,276.689754
2.819128,34,279.356008
-0.031894,24,281.095178
2.075302,23,282.857398
3.978112,41,285.927805
3.911806,33,288.418583
4.642109,42,291.536474
1.810669,21,293.101108
8.523911,46,296.537699
1.60477,38,299.346452
0.830987,34,301.883276
3.143931,51,305.719457
1.836787,25,307.565936
5.624852,46,310.954209
2.633373,45,314.27019
4.482865,45,317.581294
3.221517,50,321.309095
-0.35308,16,322.495237
1.777701,19,323.904204
2.363704,31,326.188664
1.641944,27,333.617938
2.018213,24,335.349285
2.422957,25,337.177636
1.853184,36,339.786645
0.743649,27,341.782696
3.208042,27,343.743921
0.187461,13,344.735968
5.045535,31,346.988327
8.999863,57,351.165318
3.183833,55,355.334517
-0.110645,17,356.641904
4.125006,49,360.332842
1.544158,24,362.164626
0.878963,23,363.835015
4.802866,69,368.89167
6.739264,49,372.506017
-0.078747,17,373.737297
2.710667,44,377.031276
3.197449,33,379.453347
5.076538,47,382.873213
3.246986,33,385.338076
2.878542,28,387.388322
3.350243,31,389.667986
0.882341,29,391.789697
4.639779,50,395.576824
8.028449,50,399.382922
-0.460981,38,402.380699
1.020676,28,404.467249
4.709463,57,414.458045
0.825096,24,416.271066
3.842074,48,419.816066
-0.454751,27,421.853277
3.506276,30,424.082726
2.225279,32,426.544733
0.102407,19,427.940612
2.553946,24,429.779806
1.546544,31,432.102472
3.450481,36,434.867264
1.164541,27,436.872061
2.614379,28,439.027539
0.733123,22,440.676327
-0.268346,25,442.610258
1.729482,23,444.257413
3.951217,31,446.674605
3.015261,25,448.595191
0.078492,12,449.436556
1.964521,21,451.042613
3.102801,33,453.482195
7.010023,47,457.01225
2.3004,30,459.273021
0.791927,26,461.240565
1.083271,21,462.860033
0.298687,34,465.392347
2.769661,36,468.099004
4.793566,39,471.071772
0.344908,21,472.688147
2.571792,36,475.357832
1.650405,26,477.310565
1.257948,27,479.367957
9.141207,43,482.64475
1.775631,34,485.245104
0.897788,14,486.29224
4.540421,49,490.013983
2.925802,35,498.612931
6.020343,43,501.877563
3.596791,33,504.364867
3.563588,45,507.714173
1.717263,28,509.857702
3.733747,46,513.348605
1.633265,25,515.199983
8.735616,52,519.044208
0.342548,14,520.121693
-0.245568,23,521.94293
0.778322,52,525.814784
9.261441,89,532.40091
-0.18956,17,533.70596
1.139554,22,535.315894
7.962068,61,539.794373
-0.565462,28,541.881041
1.106598,32,544.295491
5.533971,54,548.316059
4.643623,35,550.943327
3.212127,26,552.877714
0.108907,39,555.814124
2.010896,24,557.645586
2.202529,29,559.808319
6.607473,44,563.064781
4.616476,40,566.010748
2.050305,29,568.216163
4.339985,52,572.109884
0.39601,20,579.612116
-0.796923,25,581.441924
2.882806,40,584.477699
1.357254,21,586.04856
2.801743,36,588.786734
2.840182,34,591.269689
