#{"t_start": 1694254663.1472363, "env_id": null}
r,l,t
22.511472,74,1969.615554
10.149616,45,1978.478494
27.572462,89,1996.198585
25.035248,78,2011.799522
25.205557,76,2027.079384
11.531401,57,2038.306777
26.040332,93,2056.687755
18.039628,72,2072.682523
10.609372,48,2082.313247
21.342788,93,2100.817735
14.646188,103,2121.314128
11.313544,81,2137.513678
17.635285,98,2157.117687
23.928024,93,2177.259007
26.124966,78,2192.742196
21.175635,74,2207.507046
11.37882,64,2220.251283
21.071469,103,2240.779519
17.121122,60,2252.714747
10.51253,37,2260.088257
22.956248,86,2278.797346
26.25453,101,2299.001585
24.953458,81,2315.090149
23.940047,92,2333.389994
22.04717,83,2349.889385
17.065648,103,2370.403674
15.182241,103,2392.703735
11.402043,59,2404.467714
5.554822,23,2409.021763
21.47927,82,2425.378067
15.752989,61,2437.724171
15.356677,103,2458.21364
22.657301,56,2469.328146
25.030855,89,2488.552417
27.743467,88,2506.133309
21.694353,85,2523.134311
26.151573,88,2540.657908
20.333144,59,2552.437077
10.399026,51,2562.611126
22.582192,103,2583.201705
28.153454,99,2604.012081
24.117409,78,2619.528792
28.9587,68,2633.132113
23.347647,83,2649.666087
18.010105,103,2670.138628
28.255302,85,2687.036391
16.29531,103,2709.169883
9.724817,54,2719.977423
22.144197,103,2740.473348
11.901148,41,2748.59153
28.097662,86,2765.761877
20.018146,103,2786.233587
26.422685,95,2806.76655
22.137795,103,2827.370037
24.413278,60,2839.348905
22.250357,66,2852.457578
25.162142,95,2871.44115
13.548265,103,2891.973376
10.097671,53,2903.603574
27.005908,102,2924.045152
22.98713,89,2941.751348
21.0712,103,2962.257226
16.446987,103,2982.753876
15.613058,103,3004.887173
19.613397,103,3025.401402
24.081799,95,3044.37399
23.172187,60,3056.336327
18.036869,103,3076.8628
20.261017,103,3097.401785
27.312506,86,3115.933797
10.411802,57,3127.330115
14.246377,103,3147.834485
27.590271,97,3167.133614
25.70321,86,3184.290007
16.321653,103,3204.791853
19.937296,103,3227.038996
9.941356,53,3237.521795
19.281476,103,3257.983204
11.546844,103,3278.548459
16.601958,103,3299.001305
26.724563,97,3320.067161
13.762797,103,3340.571241
23.844655,81,3356.607123
24.825392,85,3373.58043
26.37478,81,3389.767424
24.614926,86,3407.012695
26.052236,68,3421.635995
23.639868,77,3437.099768
10.642437,48,3446.611253
18.450512,62,3458.902567
24.606289,95,3477.98135
24.665553,77,3493.1847
23.167355,99,3512.950517
15.078287,81,3530.826078
26.941229,98,3550.307317
17.466032,103,3570.813195
18.326303,103,3591.34055
18.238799,103,3611.87737
23.266761,76,3628.22452
27.516957,99,3648.006647
24.062072,73,3662.516745
20.62126,48,3672.058076
10.142912,56,3683.180863
20.664981,77,3698.483304
21.147375,86,3715.708193
24.192334,59,3728.613401
22.442918,77,3743.921545
20.021451,103,3764.521492
17.833593,103,3784.960835
15.563417,103,3805.491841
24.196407,65,3818.39827
10.764074,61,3832.126821
11.098966,78,3847.751813
