#{"t_start": 1691007295.191925, "env_id": null}
r,l,t
-0.605919,14,1.609807
-0.223992,27,3.758075
2.081162,27,5.797098
2.087273,22,7.519935
2.150134,40,10.597433
0.808334,20,12.166387
1.848859,22,13.792022
1.336236,29,16.009704
1.064111,24,17.955999
2.547707,26,19.98337
0.347609,26,21.940849
1.600609,24,23.765613
2.47776,30,26.060852
2.475075,38,28.864938
0.925785,31,31.130275
0.82236,13,32.057474
3.691587,33,34.54462
-0.57375,20,36.040253
0.429235,22,37.765294
2.877353,31,40.047929
11.41429,55,44.102856
-1.0,1,44.146729
-1.0,1,44.216694
-1.0,1,44.307343
-1.0,1,44.377929
-1.0,1,44.446678
-1.0,1,44.517959
-1.0,1,44.595669
-1.0,1,44.663964
-1.0,1,44.744756
-1.0,1,44.827441
-1.0,1,44.896532
-1.0,1,44.962625
-1.0,1,45.075005
-1.0,1,45.159091
-1.0,1,45.250441
-1.0,1,45.331595
-1.0,1,45.407561
-1.0,1,45.47087
-1.0,1,45.54496
-1.0,1,45.613087
-1.0,1,45.700584
-1.0,1,45.770449
-1.0,1,45.851179
-1.0,1,45.920384
-1.0,1,45.996464
-1.0,1,46.065074
-1.0,1,46.142582
-1.0,1,46.225917
-1.0,1,46.313321
-1.0,1,46.391845
-1.0,1,46.459679
-1.0,1,46.527511
-1.0,1,46.605576
2.99567,37,49.35703
2.471702,19,50.763724
0.244361,17,52.065187
0.118002,19,53.456204
2.943809,32,55.881603
2.336818,24,57.642434
1.512726,25,59.52048
0.435739,29,61.772231
2.718835,32,64.157231
0.079017,25,65.961474
2.861907,37,68.737442
1.670492,24,70.587155
1.509663,29,72.698456
1.774477,29,74.823621
7.689493,42,84.021794
-0.515232,12,84.945657
1.355963,25,86.824891
4.372201,42,89.916336
6.469471,39,92.81536
3.411261,53,96.672064
6.090308,60,101.070691
6.400159,30,103.317354
3.619215,19,104.767497
4.342348,29,106.941356
2.600812,23,108.650306
0.39578,21,110.217324
2.748296,36,112.962305
0.741298,15,114.010373
11.317967,53,117.911997
0.317965,22,119.530677
1.75735,20,121.076357
3.4746,41,124.127908
