#{"t_start": 1697179338.4426146, "env_id": null}
r,l,t
2.526523,102,23.178391
6.852087,435,111.148224
8.746633,309,172.879474
8.018994,267,227.57944
3.669978,91,245.762139
8.150686,32,252.144171
1.400522,49,261.944264
2.710933,88,279.543759
5.729377,79,295.479167
10.222514,141,324.78573
8.647271,100,344.679656
3.740306,61,356.897256
1.609776,70,370.894745
3.009389,39,378.604977
5.079452,92,397.009433
1.581739,27,402.346953
8.933971,110,425.68839
25.011034,226,470.89847
7.555142,57,482.277272
2.824066,22,486.510297
4.303764,36,493.573029
5.50501,85,510.509542
2.237251,43,520.547861
8.559302,70,534.29466
7.761803,46,543.485835
3.001483,32,549.870187
29.216104,227,595.14783
7.903769,91,613.286382
7.652152,60,627.083739
12.753275,85,643.947085
12.534676,125,668.884662
4.321285,50,678.892247
3.954055,43,687.428362
3.50453,55,698.441267
19.285375,77,713.777506
1.65263,14,716.591904
10.06619,72,732.240196
1.505566,16,735.450204
10.157152,75,750.325317
15.802766,125,775.364735
10.426891,55,786.340815
16.432001,114,809.136747
28.899173,323,874.85671
35.168362,262,927.214577
30.839456,210,970.151498
15.07143,95,989.051175
18.025638,136,1016.324773
16.403719,135,1045.296961
6.506242,41,1053.40391
24.190442,130,1079.434113
14.857688,111,1101.576015
5.985919,39,1109.378558
12.735968,74,1124.167749
29.520904,177,1160.668941
2.653822,24,1165.482633
33.016904,221,1209.693986
11.906844,83,1226.261954
4.963464,48,1235.862488
7.732424,66,1251.025805
32.120609,182,1287.424755
8.020766,56,1298.590213
33.30638,208,1340.179574
11.859795,67,1355.220165
32.698647,205,1396.200701
2.77883,37,1403.59764
21.078034,125,1428.604662
29.967858,228,1476.107633
30.094199,175,1511.020957
13.17549,66,1524.203686
41.406391,330,1592.025456
175.496302,1200,1836.007773
16.489806,98,1855.574057
117.095023,719,2002.911583
29.079103,171,2037.113546
64.321331,411,2120.522591
33.226648,182,2156.896126
53.541674,335,2225.247651
47.88403,291,2283.452577
27.588571,158,2316.127813
80.440556,465,2410.503592
4.370032,33,2417.059999
30.624342,204,2457.862967
33.006456,249,2509.672422
59.11118,374,2584.378875
32.834097,248,2635.444654
32.668385,223,2680.033035
179.357566,1200,2924.540365
32.019286,204,2965.186074
54.493378,379,3042.385428
84.876674,558,3155.799222
88.43489,626,3283.037396
32.323461,181,3319.167794
42.995793,270,3375.196871
32.922203,185,3412.142802
85.730559,404,3494.761411
205.014795,1200,3738.049895
115.857455,595,3860.763364
59.549993,402,3941.16608
10.313289,45,3951.714461
216.614866,1200,4194.913277
232.683768,1200,4438.117374
34.984874,172,4474.218964
207.001747,1063,4689.492607
217.00218,1200,4931.790532
34.530059,176,4966.958752
223.284723,1200,5211.147533
220.564666,1200,5453.880852
33.303738,208,5495.43057
60.555576,338,5564.873643
219.794611,1197,5807.583476
231.192875,1200,6052.858775
36.194703,184,6089.596267
60.449509,331,6156.935623
31.801824,157,6188.318188
226.758837,1200,6431.62407
221.186282,1092,6653.836067
58.963346,285,6710.81934
59.232805,321,6776.267357
34.013258,198,6815.906082
32.56302,151,6846.09142
238.278464,1200,7091.353405
85.564274,504,7193.337038
224.605376,1200,7435.820971
35.275465,180,7471.692743
60.412341,334,7539.805436
227.482457,1200,7782.426879
223.524734,1200,8027.150104
30.823841,172,8061.475311
57.54344,321,8126.930227
62.261133,324,8191.71388
217.699683,1178,8430.904421
58.9561,286,8488.109715
231.982498,1193,8730.938106
88.925159,457,8822.320763
60.864803,311,8885.588331
219.046472,1106,9109.927375
238.038818,1200,9353.697515
173.72212,892,9533.326967
16.635399,87,9550.74802
86.21632,467,9645.581623
45.46232,240,9694.634723
58.553784,315,9757.587998
234.435294,1200,10001.71419
237.474317,1200,10245.135172
247.794846,1200,10488.371716
47.156967,247,10539.198488
217.764533,1051,10751.708398
36.137621,176,10786.870309
218.428531,1045,10998.295594
244.43285,1200,11243.21771
244.994215,1200,11485.781281
61.198511,319,11550.359429
240.728113,1200,11792.612273
57.43002,319,11857.567585
215.768705,990,12057.639515
268.47082,1200,12304.984899
231.881209,1112,12530.094333
216.983852,1059,12744.842242
230.536122,1098,12966.767798
247.339177,1200,13211.113091
232.628737,1179,13449.27806
57.554673,281,13507.463666
61.496364,320,13571.438389
248.724297,1200,13815.461792
250.69401,1200,14059.131066
245.498511,1200,14301.682005
86.875693,466,14396.085723
232.40077,1200,14639.002251
25.602855,115,14663.090058
71.13764,390,14740.988358
241.621237,1200,14985.815511
61.409537,363,15058.316477
84.50797,457,15150.961913
234.886638,1200,15396.975581
222.118731,1200,15639.589726
238.489456,1200,15882.770745
226.541216,1171,16121.993276
17.579283,91,16140.154814
