#{"t_start": 1691238636.615439, "env_id": null}
r,l,t
1.988433,18,2.415546
0.643867,14,3.286933
2.690777,19,4.493293
2.217659,17,5.575073
2.06985,18,6.667002
-0.040184,13,7.493283
-0.2173,8,8.066068
4.209885,35,10.300633
0.607666,17,11.413043
3.620361,19,12.664393
1.774887,15,13.630121
2.541718,19,14.86815
2.890592,18,16.130711
0.898766,15,17.076063
3.815798,24,18.642988
5.148491,22,20.008753
0.744099,27,21.793075
1.494011,17,22.854275
3.349289,20,24.141353
5.254196,25,25.78491
3.110069,18,26.948843
2.085299,13,27.788257
1.957153,28,29.624703
1.147293,20,30.83824
5.095924,23,32.369206
5.103296,22,33.862205
6.334785,27,35.697609
4.934219,28,37.592291
4.12044,22,38.97847
12.70368,43,41.895711
0.968746,13,42.794392
1.464461,13,43.568114
1.657776,21,44.851737
7.826256,32,46.871064
5.527557,44,49.812213
0.947937,24,51.40116
2.138676,23,52.937749
0.803055,13,53.846468
5.242027,46,56.835607
9.09346,44,59.723194
17.09267,47,62.73287
-0.287796,9,63.317737
4.581245,19,64.546447
1.16198,29,66.435333
3.429703,19,67.65942
0.269264,23,77.118112
1.430725,20,78.347121
0.373262,11,79.088961
6.356186,20,80.40189
1.792835,18,81.598367
3.000168,22,83.067744
-0.150124,12,83.842506
2.053894,18,84.970614
2.007469,21,86.407995
6.352219,38,88.804293
0.583977,16,89.937882
4.269241,39,92.421406
1.776489,27,94.154932
0.464462,15,95.0897
0.188965,13,95.906889
0.884613,14,96.849122
3.231987,16,97.877313
3.8069,27,99.585955
1.449188,18,100.852157
3.906387,31,102.932601
5.417923,26,104.663529
0.139374,9,105.262079
3.838333,26,106.955418
2.285885,19,108.242295
4.602264,33,110.423582
3.022141,23,111.891105
3.859447,18,113.139678
3.61237,25,114.826724
3.264774,18,115.987991
2.413849,13,116.82663
6.616444,33,118.973532
0.1763,12,119.75278
5.902351,29,121.524109
0.060314,12,122.304368
1.325439,23,123.656001
0.553574,18,124.783612
0.053162,10,125.410434
2.465595,24,126.929781
1.115097,11,127.623776
0.791801,22,129.020889
3.373512,18,130.146778
0.237879,11,130.831122
4.701806,28,132.510197
1.997398,22,133.890711
2.651428,27,135.572928
0.922646,16,136.604684
3.543657,26,138.158995
0.820488,17,139.253276
19.017982,40,141.625522
1.64864,14,150.855926
0.331711,10,151.478688
7.664742,29,153.214984
0.467361,11,153.881474
3.785995,22,155.253233
5.623459,35,157.365276
0.096954,17,158.408225
6.690048,22,159.732027
0.87088,13,160.568156
-0.346161,8,161.074074
3.451218,20,162.304586
-0.322433,8,162.788292
0.702461,14,163.692479
10.515045,37,165.949737
2.226547,17,166.967359
1.427216,12,167.758156
0.587906,13,168.540003
2.893967,25,170.11649
6.052031,49,173.095902
0.057625,9,173.661577
1.977791,18,174.84585
0.146698,12,175.602108
0.092567,9,176.173467
2.465805,26,177.799571
4.114975,20,179.023032
1.469568,13,179.844333
2.770447,23,181.242867
10.968689,50,184.385573
1.329695,16,185.355464
2.505325,22,186.792532
1.387886,14,187.661646
5.7556,30,189.554604
0.337509,12,190.292483
5.444054,24,191.797998
1.242753,15,192.690874
10.130295,29,194.53792
5.93716,27,196.175613
2.961852,30,198.041903
1.587318,16,199.019121
1.189903,11,199.761245
3.923058,24,201.225004
2.30513,23,202.680741
5.574631,27,204.365706
4.980682,28,206.038281
3.33876,28,207.760251
7.633723,55,211.139452
1.704887,19,212.322848
-0.308167,8,212.837543
5.220627,32,222.032224
2.014984,19,223.181838
13.684334,66,227.319866
5.473312,24,228.796137
0.564636,15,229.718602
3.047623,21,231.013697
7.000145,61,234.776873
6.498856,34,236.867589
1.481456,19,238.006715
-0.080381,12,238.763809
-0.266987,8,239.268058
2.48505,17,240.330828
2.685354,21,241.664595
3.648051,22,243.048177
2.580322,20,244.244488
11.534142,46,247.054108
4.173012,27,248.705401
13.51005,65,252.786619
0.24855,12,253.513975
0.617317,18,254.648306
11.537472,64,258.686382
4.592117,32,260.743529
2.585129,27,262.388397
13.900932,59,266.047638
-0.167614,9,266.630146
5.925926,30,268.497062
1.191391,16,269.511455
4.717888,24,271.004581
6.049789,31,272.992839
5.161575,29,274.814869
5.063995,36,277.094738
