#{"t_start": 1693738337.9075384, "env_id": null}
r,l,t
1.01641,25,7.277655
1.486677,25,12.280223
0.018342,15,15.277386
1.302845,18,18.865553
0.766591,17,22.188585
0.341649,19,25.859661
3.858705,26,30.998533
2.193004,19,34.81456
1.564572,18,38.398433
0.564393,21,42.503668
4.448791,20,46.479735
0.18987,20,50.394983
0.285399,18,53.99137
2.732767,24,58.703273
0.1977,15,61.68777
0.047393,17,65.101337
2.669735,21,69.303093
2.290838,26,74.481752
1.279098,22,78.776924
0.490428,19,82.416025
0.325665,19,86.142071
0.016938,18,89.756702
-0.047768,18,93.315221
0.154139,15,96.300117
-0.086344,14,99.045964
2.372302,20,102.942667
2.418108,20,108.328731
0.167442,16,111.521807
0.245839,16,114.745606
0.160554,14,117.507314
0.444669,24,122.188427
5.432371,21,126.39355
0.602866,17,129.780133
0.721518,21,133.998619
10.017013,46,143.091446
0.059684,14,145.853976
3.948623,19,149.698432
1.452083,14,152.376266
0.478092,23,156.94454
-0.022749,19,160.634804
1.450974,25,165.485204
0.695693,29,171.257772
1.288962,33,177.809333
6.728142,32,184.182364
0.474392,20,188.178567
0.316038,19,191.980613
-0.11565,11,194.077797
1.514092,21,198.302938
0.292954,20,202.156314
3.367375,24,208.53459
0.301251,22,212.890816
3.099214,18,216.460449
0.022547,16,219.670739
0.883439,15,222.69137
6.604984,46,231.74769
5.633272,33,238.387619
1.971547,17,241.802259
15.291188,47,251.172038
0.779902,24,255.978496
3.156569,18,259.545694
4.315429,25,264.530017
0.729267,25,269.393008
3.15077,25,274.351167
2.576285,16,277.549046
0.075697,16,280.621889
7.073946,38,288.179743
5.846308,26,293.323347
10.941076,36,300.396432
2.592201,34,307.222426
0.574063,22,314.041718
1.590335,20,317.884265
-0.025657,12,320.246977
0.585804,22,324.637365
5.297219,28,330.171286
7.317168,33,336.74487
2.841552,26,341.891131
1.677348,13,344.471301
3.567499,17,347.860165
0.372966,18,351.443776
0.135867,16,354.501293
0.783091,28,359.99013
3.237453,26,365.12105
5.4908,21,369.32128
4.763341,22,373.706844
0.2141,16,376.871881
3.400361,17,380.261453
11.595221,36,387.349251
-0.112183,10,389.389221
0.20987,21,393.436615
1.640242,28,398.971493
2.370139,18,402.566111
2.426161,17,405.968816
1.977555,21,410.227827
0.188587,17,415.25158
1.232248,28,420.562565
5.976475,26,425.761316
3.641575,29,431.598531
4.287329,19,435.362299
2.204365,24,440.195146
5.222587,25,445.183439
6.586808,31,451.261795
5.969453,30,457.123932
2.692039,22,461.482701
0.507273,16,464.699607
3.056362,17,468.127393
1.879725,25,473.161694
4.258242,20,477.054242
3.170452,18,480.562372
3.233383,19,484.40843
0.177237,20,488.363634
3.600351,19,492.073004
3.078875,27,497.417708
7.230018,26,502.622671
2.293438,23,507.190418
4.840021,20,511.083227
0.454983,16,514.226464
6.27561,29,521.845264
4.71717,37,529.172355
6.362045,27,534.619156
2.412358,21,538.771707
3.999208,21,542.941895
9.216586,33,549.446274
4.744181,31,555.684216
5.085336,25,560.708243
4.55673,19,564.396155
0.05593,14,567.22164
2.930817,19,571.001504
6.017082,25,576.020385
1.778794,16,579.198071
5.542142,21,583.289381
0.91656,18,586.831852
7.443164,30,592.685961
3.44633,28,598.175476
0.173353,19,601.892889
1.6145,24,606.702737
4.406635,18,610.193159
4.280153,31,616.353311
2.21146,19,622.028111
4.580658,25,626.852401
6.744199,26,632.028175
0.979705,12,634.420016
2.164083,16,637.58948
5.969962,22,641.913084
3.355591,17,645.370644
6.730943,40,653.166365
1.737283,18,656.711082
3.123718,18,660.298718
7.684791,30,666.311812
16.069308,36,673.433382
3.21993,21,677.652784
5.971209,22,681.884604
2.536651,26,687.08524
3.059713,18,690.687408
8.348445,29,696.418539
2.546063,16,699.652578
2.179199,26,704.741788
13.65021,36,711.81484
6.257804,43,720.357754
1.713766,17,725.962492
4.216841,18,729.573103
3.626556,17,732.958714
5.723051,21,737.120333
2.709526,15,740.125524
5.849295,29,745.920863
3.698948,18,749.483161
8.767625,31,755.654436
3.841851,21,759.735804
0.004342,13,762.323675
5.461501,19,766.086123
4.059644,18,769.573768
5.518049,23,774.08654
6.767022,29,779.8881
5.759771,23,784.437446
6.122779,31,790.703407
3.001303,15,793.609938
4.032834,19,797.316674
7.631519,34,804.097113
5.39943,27,809.49507
3.762986,24,814.121664
8.990941,27,819.428676
6.535836,28,824.900918
9.86531,29,832.486803
6.157234,30,838.400181
8.240177,26,843.600178
6.933218,24,848.337245
3.442171,17,851.783743
9.166014,32,858.020148
3.520899,16,861.222145
2.863528,20,865.201136
1.314093,12,867.632339
2.331963,20,871.51597
6.150799,28,877.063505
5.471539,26,882.106209
14.445036,44,890.842806
8.20703,25,895.824021
5.113795,22,900.067043
4.444093,18,903.589146
8.728875,31,909.729705
4.208947,16,912.937232
5.055028,22,917.206526
2.153921,17,920.598904
5.750436,26,925.715502
24.47324,49,937.523412
2.12859,14,940.343051
1.277857,19,944.110227
5.627732,20,948.039727
4.135061,20,952.000753
4.793641,18,955.459882
3.842736,18,959.064518
3.371537,20,963.020205
5.568673,22,967.379843
5.467862,20,971.314354
4.271345,22,975.550161
4.729712,28,981.121323
8.403374,31,987.263129
3.438261,16,990.460142
4.396398,17,993.834621
4.166866,18,997.405229
16.966571,43,1005.878076
12.495175,32,1012.227737
15.19666,33,1018.746977
7.032853,28,1024.310282
4.006582,17,1027.712054
13.448268,40,1037.898023
5.76697,33,1044.435786
5.335765,19,1048.197136
9.943177,33,1054.825108
2.041276,25,1059.752334
6.467153,32,1066.104748
4.839618,20,1070.014055
8.788879,27,1075.337952
6.130961,33,1081.961414
2.326377,16,1085.151709
17.86898,41,1093.215407
8.990411,34,1099.990646
3.669228,17,1103.299978
3.880749,18,1106.95027
5.148393,19,1110.612984
4.436631,18,1114.234131
20.509616,42,1122.602372
1.89158,21,1126.684576
21.180004,51,1138.576162
11.976591,33,1144.875333
3.936495,18,1148.44693
8.323882,32,1154.811054
14.379879,32,1161.177826
4.009548,26,1166.352529
4.370236,23,1170.985118
3.205777,16,1174.077843
2.981667,16,1177.315075
5.339234,20,1181.263155
4.652714,24,1186.018897
8.776438,29,1191.815396
12.513115,33,1198.287869
10.198401,26,1203.495266
9.935654,30,1209.337779
3.570809,18,1212.896756
1.312816,12,1215.297563
4.814731,19,1219.069488
3.253281,16,1222.208526
6.489171,36,1229.381672
3.251365,25,1234.302763
4.953334,18,1237.77078
8.765825,30,1245.185361
6.653409,23,1249.805052
10.685081,26,1255.025756
6.941041,23,1259.539446
11.604977,34,1266.209574
5.20448,21,1270.427481
26.256082,67,1283.828705
26.232592,53,1294.354839
4.701747,22,1298.757541
8.259136,33,1305.260918
4.359745,19,1308.931715
4.153547,19,1312.632962
5.986162,23,1317.179408
4.954396,19,1320.881921
3.00549,25,1325.810873
2.717426,18,1329.443197
3.032397,15,1332.369122
7.3715,24,1337.141188
15.298013,37,1346.010401
3.749129,18,1349.547278
7.885293,28,1355.158315
8.063921,33,1361.623375
10.874383,28,1367.212876
13.238378,44,1375.914948
2.58441,15,1378.905605
5.341052,20,1382.93445
12.864271,28,1388.432542
6.149528,23,1393.036684
6.725714,25,1397.905744
16.762435,38,1405.46374
7.349236,28,1410.946664
6.603937,21,1415.104561
4.94668,19,1418.788851
6.584794,25,1423.818022
5.866777,20,1427.76052
7.577243,22,1432.190555
4.538182,27,1437.551633
15.602304,38,1445.100048
9.347366,38,1454.351012
8.785341,31,1460.508633
10.16836,32,1466.810039
12.550312,43,1475.396827
4.742202,22,1479.816489
13.108674,33,1486.272972
4.254151,21,1490.455558
4.860554,25,1495.363657
13.847763,37,1502.735844
3.539478,17,1506.141918
10.25353,30,1512.118698
10.701007,29,1517.924391
14.531473,39,1525.675578
11.072876,31,1531.834986
3.592053,17,1535.188268
6.452113,27,1540.55934
2.587562,15,1543.599845
8.510715,23,1548.076869
5.761952,25,1554.859823
10.856599,27,1560.242421
9.689515,40,1568.270844
7.773271,24,1572.932092
16.150756,41,1581.164824
5.002158,18,1584.745899
6.304257,21,1588.971061
6.800108,25,1593.833341
4.982916,23,1598.369904
13.092925,34,1605.2186
3.879507,17,1608.480496
4.552405,22,1612.737639
9.341448,33,1619.246248
2.184299,20,1623.254745
6.469548,26,1628.445013
9.227116,29,1634.107914
4.340861,19,1637.925182
2.976235,20,1641.887249
8.003884,27,1647.321385
7.756364,23,1651.815539
9.804736,29,1658.995224
9.517982,28,1664.626813
6.372367,29,1670.433931
4.790612,30,1676.354523
6.038139,28,1681.987454
4.646422,18,1685.464233
4.86305,19,1689.217711
4.661788,27,1694.594293
5.952631,23,1699.215045
8.78409,42,1707.559841
6.778396,25,1712.514539
14.027571,36,1719.723624
14.468935,34,1726.432684
15.49321,34,1733.066036
3.560401,16,1736.253821
3.29979,16,1739.473471
11.623191,32,1745.782954
4.433173,20,1749.631051
10.977725,42,1759.419376
6.2273,28,1765.007575
6.364528,25,1769.908836
6.187844,25,1774.874367
6.14976,27,1780.229075
3.659384,17,1783.62169
5.1751,31,1789.73181
8.756845,27,1795.108471
6.747236,28,1800.552721
11.561683,30,1806.477912
6.687057,22,1810.92715
9.650629,29,1816.69
12.165374,37,1823.982155
4.887922,19,1827.702567
4.182648,19,1831.496356
5.938724,20,1835.427727
6.739305,23,1839.935856
3.574113,18,1843.545661
6.898838,22,1847.927974
11.558419,34,1854.594548
15.768626,33,1862.837675
11.004572,28,1868.417147
5.284482,21,1872.551884
12.88007,37,1879.830752
6.636033,21,1884.007307
12.206853,36,1891.23076
4.833386,25,1896.17036
7.517958,22,1900.459205
3.831401,18,1904.026299
7.36781,26,1909.215401
19.722338,42,1917.48746
11.547545,30,1923.522814
9.129505,26,1928.686181
6.162327,21,1932.728869
13.477485,33,1939.293844
5.006242,24,1944.132801
8.844304,45,1953.045161
3.591842,20,1957.023147
17.281892,44,1967.661887
9.833827,30,1973.605144
17.008447,35,1980.539329
5.99597,25,1985.394569
8.282186,23,1989.99739
7.639287,22,1994.386846
6.610524,30,2000.31002
2.94051,17,2003.685952
16.785251,61,2015.884158
9.404562,44,2024.537575
6.344548,22,2028.931849
14.248111,34,2035.773692
11.929638,32,2042.139848
3.235962,23,2046.628275
4.938908,26,2051.728866
5.866175,24,2056.537705
4.857343,19,2060.285469
16.611664,39,2069.511782
12.642336,34,2076.317994
5.445035,22,2080.587234
10.962583,30,2086.53634
1.95821,22,2090.927703
2.664165,15,2093.85028
5.288022,30,2099.831483
10.68119,31,2105.906647
5.820326,20,2109.916883
4.865632,18,2113.421659
12.146882,37,2120.740567
4.309806,18,2124.301637
7.881208,30,2130.179812
4.625144,18,2133.681391
4.344684,20,2137.64954
3.773953,17,2141.00027
4.001236,28,2146.59118
11.16029,32,2152.888868
4.625696,18,2156.445542
4.564073,19,2160.233275
7.912896,27,2165.538236
8.578498,33,2174.140497
16.71128,61,2186.278391
7.311736,21,2190.390959
10.127736,35,2197.422057
8.742053,26,2202.606127
14.411711,31,2208.872722
4.088168,18,2212.405252
6.749459,23,2216.98701
2.009894,19,2220.705889
8.476463,31,2226.836148
11.120465,35,2233.668321
10.151366,31,2239.753461
13.567289,31,2245.99152
6.239188,21,2250.251388
8.313778,31,2256.412147
3.319974,17,2259.807628
3.792592,22,2264.055814
5.23474,23,2268.593125
7.533431,37,2278.474346
5.113572,19,2282.241315
8.658201,27,2287.63416
26.653897,47,2296.933951
7.201162,23,2301.57633
25.988967,52,2311.910728
13.640355,28,2317.353753
12.061184,38,2324.888295
11.878255,32,2331.269592
9.283579,23,2335.831053
6.649166,22,2340.281053
6.054501,33,2346.825937
13.280914,31,2352.893461
12.453866,31,2359.058617
11.067652,30,2365.06008
