#{"t_start": 1694616388.676749, "env_id": null}
r,l,t
0.303483,15,5.561145
0.579705,16,8.491081
0.457473,13,11.24445
0.359758,12,13.513592
0.502219,15,16.445663
1.500459,34,23.086119
1.741302,28,28.655665
0.417275,15,31.670772
0.733561,23,36.203538
0.520325,16,39.438382
0.830627,24,44.167579
0.328052,13,46.703706
0.166778,10,48.835182
0.988305,27,54.087524
0.138881,10,55.947033
0.782595,20,59.831997
0.993304,18,63.389985
0.356058,13,65.998971
0.879492,19,69.898997
0.874995,16,73.032341
0.206962,13,75.406991
0.209905,11,77.644991
0.422639,13,80.144941
0.605883,18,83.693387
0.762641,19,87.412848
0.414139,14,90.21685
0.457766,16,93.383903
0.628039,20,97.454651
1.032801,19,101.183172
3.151038,23,106.90902
8.011185,35,113.755986
0.750405,17,117.100533
0.57389,15,120.073867
0.389799,15,122.968261
0.639193,21,127.150357
0.63808,24,131.935258
0.392727,14,134.752941
1.021804,17,138.148175
0.294177,13,140.701967
1.028126,19,144.377095
0.168183,11,146.585848
2.242874,24,151.479697
1.02547,24,155.931207
0.454537,14,158.721864
0.703337,16,161.908331
0.807651,20,165.848907
0.581093,14,168.618632
0.686624,17,171.962522
1.997985,25,176.762965
3.118326,25,181.656258
1.079012,21,185.826014
0.792355,18,189.389337
0.680027,16,192.624308
0.49051,14,195.347334
3.244887,32,201.710318
4.306107,21,207.843919
2.357518,32,213.757892
1.045278,20,217.724407
0.766505,17,221.160907
0.6874,16,224.305619
0.974336,18,227.842233
0.960383,23,232.423684
1.13845,20,236.339318
3.098854,27,241.829866
1.066882,17,245.189631
9.686779,23,249.807281
1.221466,26,254.923748
0.88348,17,258.098523
0.952594,17,261.540319
8.24614,22,265.813242
1.058294,19,269.58062
5.781714,25,274.543837
2.615524,29,280.240652
3.117605,40,288.26856
7.03511,24,293.044829
1.871726,19,296.819808
1.252491,18,300.409341
0.527505,15,303.224726
3.296779,35,311.911733
0.779749,17,315.196889
2.751921,28,320.826844
9.917164,28,326.332781
5.144725,20,330.332905
1.113557,17,333.73612
10.893251,25,338.645487
0.378419,12,340.891701
0.4911,14,343.695142
9.014674,21,347.813039
0.151556,11,349.965579
0.386219,14,352.767347
1.221759,18,356.270889
1.342851,19,359.999391
7.813467,30,365.919652
0.794916,16,369.06992
5.56105,23,373.629769
2.549125,19,377.345327
1.122204,25,382.271697
0.818514,17,385.683999
7.581675,21,389.794276
6.778182,31,395.919487
0.609402,16,399.123549
10.725833,36,406.163498
1.373534,22,410.458585
7.968986,23,416.064422
8.078657,32,422.408204
6.127642,21,426.606873
7.634262,33,433.220145
13.812701,33,439.724289
7.762277,21,443.943582
2.437155,19,447.782866
5.213149,22,452.162762
1.404228,16,455.161791
12.88598,30,461.127589
9.051606,36,468.24887
7.497466,28,473.872191
2.024065,27,479.238421
0.954084,19,482.820319
0.778373,17,486.220632
13.198101,26,491.350839
6.171563,23,495.972238
7.691324,23,500.550444
1.971249,24,505.305404
6.633548,38,512.861656
10.913078,35,520.762526
6.652818,17,524.143294
11.960072,31,530.332917
4.755198,22,534.821043
1.861498,27,540.226832
2.452453,34,546.849551
13.840818,31,553.198956
8.517547,22,557.485321
4.716317,19,561.114496
9.507319,20,565.089082
1.597437,24,569.834467
3.472876,24,574.607784
1.068899,17,577.9699
1.241477,18,581.503469
1.554755,21,585.713566
10.265407,40,593.658551
6.798634,44,602.557999
1.753447,25,607.262984
1.05706,21,611.427626
11.745116,31,618.617701
6.384014,27,623.964152
6.810613,18,627.47634
4.618793,23,631.984477
11.172444,26,637.088873
13.388821,43,645.539873
6.539656,19,649.321799
6.306272,26,654.586748
6.427056,30,660.464264
7.636682,18,664.069624
13.756671,26,669.226143
5.152464,26,674.352209
13.06758,27,679.725388
12.53909,30,685.654697
3.025134,21,689.859774
4.135073,20,693.785018
13.503629,32,700.056864
2.464646,17,703.409161
11.458183,29,709.176754
7.602162,22,713.565474
5.35103,27,720.283768
15.619055,27,725.249903
13.777815,29,730.995494
10.531578,28,736.551537
9.640393,26,741.799522
2.421415,25,746.704222
8.051798,21,750.764938
8.721877,23,755.339708
6.424955,32,761.611291
6.792618,26,766.800645
10.577734,30,772.75498
0.727629,16,775.918556
0.515468,15,778.836049
10.978399,25,783.827181
12.551948,29,789.552037
5.949745,26,794.707162
16.929865,30,800.669393
11.304113,28,806.204636
7.744221,31,812.368722
10.662209,23,817.005072
7.570186,26,824.106996
4.324931,17,827.299614
4.300945,20,831.304702
11.593715,25,836.264337
6.291837,30,842.252706
8.061872,26,847.390888
11.531451,25,852.25518
10.036602,23,856.773006
9.520744,29,862.59775
10.463644,24,867.280695
6.479435,23,871.77772
4.745396,23,876.388312
9.265882,27,881.645152
8.233726,29,887.443969
5.982957,22,891.830674
7.926245,19,895.595731
10.726725,29,901.434427
8.980946,21,905.609049
4.109794,21,909.742551
0.821827,16,912.910879
7.484806,27,918.196416
6.775908,21,922.290932
8.907863,32,929.58641
13.681745,31,935.724126
14.041613,30,941.683703
5.970689,25,946.675508
6.533492,17,949.988026
7.872565,24,954.703041
6.429322,18,958.295262
18.298592,33,964.839492
7.731462,27,970.15745
2.828529,24,974.939103
4.480394,24,979.702141
8.163237,35,986.775425
8.028406,27,992.053849
9.11381,28,997.609245
2.139905,24,1002.298909
7.602453,20,1006.233583
9.499502,30,1012.009483
7.162719,33,1018.550523
7.837018,21,1022.819689
12.081649,32,1030.801775
18.254342,48,1040.430071
7.011389,20,1044.428282
8.823919,22,1048.774542
17.332686,38,1056.354059
10.901998,28,1061.834893
7.460634,29,1067.636544
11.59045,37,1075.05222
12.091648,31,1081.092694
14.922189,36,1088.10105
13.529559,37,1095.594519
10.620557,25,1100.397679
9.449413,24,1105.110437
6.008368,20,1109.08286
8.111915,22,1113.438688
9.830767,28,1118.911083
7.052021,21,1123.021949
17.406781,31,1129.087954
9.333399,21,1134.83528
0.750005,23,1139.426503
5.029204,22,1143.842123
17.516871,32,1150.306873
14.674228,35,1157.322115
9.97916,27,1162.61318
19.49833,35,1169.467164
9.162889,36,1176.716433
10.269226,29,1182.464805
11.742091,24,1187.116043
11.082476,35,1194.038801
7.220048,24,1198.797242
14.718674,34,1205.511219
13.3749,28,1211.034748
30.959435,60,1223.030712
17.233621,34,1229.683292
13.756734,30,1237.336557
11.696493,24,1242.207707
5.850425,25,1247.027338
14.648257,37,1254.384367
14.021448,26,1259.479983
7.83145,20,1263.565215
10.756826,22,1267.888402
4.595446,20,1271.981117
3.13133,20,1275.979511
13.880569,30,1281.90988
14.500898,38,1289.237147
8.949664,26,1294.423954
7.578687,24,1299.161409
3.690666,22,1303.552499
7.247368,25,1308.549619
7.311124,24,1313.2615
7.165274,27,1318.729565
8.470865,30,1324.608382
13.234389,34,1331.406329
6.017395,30,1338.504168
6.018047,21,1342.683896
9.608054,31,1348.891636
14.867945,28,1354.558303
8.538509,32,1360.743828
0.39296,13,1363.332423
5.860026,24,1368.254956
7.76425,21,1372.394024
1.125724,20,1376.279596
9.673316,27,1381.573309
6.488216,20,1385.497481
11.57035,26,1390.667592
9.756657,29,1396.358726
10.994735,24,1401.078205
11.27387,26,1406.250974
18.869417,31,1412.563622
13.676834,36,1419.562737
12.110611,27,1424.883001
22.640915,39,1432.625402
7.122822,22,1437.108253
21.335199,36,1445.488152
14.750962,31,1451.75232
29.643515,44,1460.413596
10.815196,30,1466.394826
9.005194,29,1472.072079
8.030905,20,1476.059366
18.480704,35,1482.988105
7.171323,29,1488.719978
8.784316,25,1493.677547
11.820943,32,1499.910009
17.849091,49,1509.663352
22.574881,43,1518.194556
10.721505,25,1523.101899
8.527437,24,1527.716488
11.898978,25,1532.657355
7.981915,21,1536.873451
7.171753,29,1544.011566
9.072957,31,1549.943992
8.484709,24,1554.805822
19.447187,35,1561.692549
1.309623,21,1565.834112
10.836652,23,1570.337983
17.552108,32,1576.826747
15.275868,34,1583.531394
6.534189,24,1588.417048
10.690055,25,1593.276449
7.146172,23,1597.787321
6.65332,23,1602.345097
8.670411,22,1606.681984
10.656472,28,1612.267328
9.621527,22,1616.640308
5.996949,25,1621.535857
12.306506,25,1626.496379
7.329946,21,1630.631062
12.46699,36,1637.77584
8.352437,33,1646.349249
11.352868,28,1651.639642
11.38724,31,1657.819203
16.085379,35,1664.81786
5.999618,21,1668.995749
11.718183,26,1674.216349
16.335109,32,1680.48498
11.772084,34,1687.226664
12.512587,26,1692.457192
8.228008,30,1698.403952
9.9002,29,1704.159786
11.992535,27,1709.518071
13.159423,29,1715.169281
1.852782,25,1720.135019
10.213421,23,1724.705287
14.248639,36,1731.896253
5.055297,25,1736.743361
17.459868,32,1743.166655
